millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,m1,m2,m3,m4
419238,0,-0.75,-2.80,-0.13,-0.06,-0.06,0.25,-0.75,-2.80,-0.13,1001.00,1002.00,1000.00,1000.00
420277,0,-0.75,-2.80,-0.13,0.00,-0.06,-0.06,-0.75,-2.80,-0.13,1001.00,1002.00,1000.00,1000.00
420655,0,-0.75,-2.80,-0.13,-0.06,0.13,0.13,-0.75,-2.80,-0.13,1001.00,1002.00,1000.00,1000.00
420675,0,.75,-2.80,-0.13,-0.06,0.06,0.06,-0.75,-2.80,-0.13,1001.00,1002.00,1000.00,1000.00
420735,0,-0.75,-2.80,-0.13,0.19,-0.06,0.00,-0.75,-2.80,-0.13,1001.00,1002.00,1000.00,1000.00
421135,0,75,-2.80,-0.13,0.06,-0.13,0.00,-0.75,-2.80,-0.13,1001.00,1002.00,1000.00,1000.00
421195,0,-0.75,-2.80,-0.13,0.00,0.06,0.13,-0.75,-2.80,-0.13,1001.00,1002.00,1000.00,1000.00
421770,0,-1.04,2.07,0.13,-1.25,4.37,5.62,-1.04,2.07,0.13,1000.00,1000.00,1003.00,1002.00
421884,0,-1.61,8.81,0.74,-11.56,105.81,-10.88,-1.61,8.81,0.74,1000.00,1000.00,1034.00,1039.00
422265,0,-0.51,-3.22,-0.75,8.81,-116.44,-4.62,-0.51,-3.22,-0.75,1033.00,1038.00,1000.00,1000.00
422345,0,-1.01,-11.14,-0.89,-8.63,-82.69,-3.94,-1.01,-11.14,-0.89,1033.00,1030.00,1000.00,1000.00
422957,0,-1.20,12.12,1.01,12.06,-1.50,-6.75,-1.20,12.12,1.01,1000.00,1000.00,1012.00,1004.00
423037,0,-0.62,10.06,0.75,-7.50,-50.13,-4.31,-0.62,10.06,0.75,1008.00,1005.00,1000.00,1000.00
423435,0,-,-5.65,0.19,-36.31,90.75,-2.37,-1.03,-5.65,0.19,1000.00,1000.00,1012.00,1031.00
423495,0,-0.14,-1.83,0.35,-5.19,102.25,-7.81,-0.14,-1.83,0.35,1000.00,1000.00,1026.00,1029.00
423611,0,-0.83,7.31,0.42,-10.75,56.94,-0.44,-0.83,7.31,0.42,1000.00,1000.00,1019.00,1024.00
423727,0,-1.84,10.80,0.70,8.44,33.06,16.56,-1.84,10.80,0.70,1000.00,1000.00,1020.00,1014.00
424187,0,-1.05,-10.81,-0.47,-3.00,-53.19,6.12,-1.05,-10.81,-0.47,1023.00,1023.00,1000.00,1000.00
424647,0,-0.63,16.00,-0.50,8.19,-35.31,-4.94,-0.63,16.00,-0.50,1000.00,1001.00,1004.00,1000.00
425601,0,-0.90,-1.41,-0.40,7.25,-57.38,-10.88,-0.90,-1.41,-0.40,1015.00,1020.00,1000.00,1000.00
425681,0,-1.00,-5.11,-0.83,-3.50,-37.75,8.19,-1.00,-5.11,-0.83,1015.00,1014.00,1000.00,1000.00
426291,0,-0.76,-4.77,-0.63,-4.19,-56.13,6.81,-0.76,-4.77,-0.63,1020.00,1018.00,1000.00,1000.00
426371,0,-1.25,-7.99,-0.78,11.13,-21.81,8.44,-1.25,-7.99,-0.78,1012.00,1018.00,1000.00,1000.00
426751,0,-0.81,14.27,-0.36,4.56,-68.06,-6.37,-0.78,14.92,-0.36,1002.00,1009.00,1000.00,1000.00
426831,0,-0.46,7.27,-0.76,5.25,-100.75,11.94,-0.40,8.25,-0.76,1022.00,1022.00,1000.00,1000.00
427290,0,-0.68,3.55,0.47,-24.06,51.50,-6.81,-0.68,3.55,0.47,1000.00,1000.00,1010.00,1023.00
427406,0,-1.31,6.29,0.32,-1.94,0.94,6.50,-1.31,6.29,0.32,1000.00,1000.00,1005.00,1004.00
427902,0,-1.01,-5.26,-0.90,1.69,17.37,-0.31,-1.01,-5.26,-0.90,1000.00,1000.00,1002.00,1000.00
427982,0,-0.94,-3.39,-0.91,-2.50,27.06,4.69,-0.94,-3.39,-0.91,1000.00,1000.00,1005.00,1005.00
428476,0,-1.03,-2.24,0.02,-0.56,-16.50,-1.31,-1.03,-2.08,0.02,1005.00,1006.00,1000.00,1000.00
