millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,u2
20,0,0.16,2.68,1.28,-1.06,-0.06,0.13,0.28,2.05,1.35,-0.00
47,0,0.18,2.68,1.28,-0.69,-0.13,0.06,0.32,2.05,1.35,-0.00
77,0,0.17,2.68,1.28,-0.44,-0.06,0.13,0.32,2.05,1.35,-0.00
160,0,0.13,2.68,1.27,-0.06,-0.06,0.00,0.07,2.05,1.34,-0.00
296,0,0.06,2.68,1.27,0.13,-0.13,-0.06,0.20,2.05,1.34,-0.00
340,0,0.02,2.68,1.27,-0.19,-0.06,0.06,0.16,2.05,1.34,-0.00
369,0,0.00,2.68,1.27,0.00,-0.06,0.06,0.14,2.05,1.34,-0.00
422,0,-0.03,2.68,1.27,-0.25,-0.13,0.19,-0.10,2.05,1.34,-0.00
449,0,-0.04,2.68,1.27,-0.62,0.00,0.00,-0.11,2.05,1.34,-0.00
636,0,-0.01,2.68,1.26,-0.37,-0.06,0.13,0.13,2.05,1.33,-0.00
723,0,-0.05,2.68,1.25,0.00,0.00,-0.13,0.09,2.05,1.32,-0.00
802,0,-0.10,2.68,1.25,0.00,-0.13,0.19,0.04,2.05,1.32,-0.00
881,0,-0.10,2.68,1.25,-0.50,-0.06,0.06,0.04,2.05,1.32,-0.00
975,0,-0.09,2.68,1.25,-0.50,-0.19,0.00,-0.16,2.05,1.32,-0.00
1004,0,-0.07,2.68,1.25,-0.75,-0.06,-0.13,0.06,2.05,1.32,-0.00
1034,0,-0.03,2.68,1.25,-0.94,-0.06,0.06,-0.10,2.05,1.32,-0.00
1062,0,0.00,2.68,1.25,-0.94,-0.06,0.00,-0.08,2.05,1.32,-0.00
1089,0,0.02,2.68,1.25,-0.81,0.13,0.13,0.16,2.05,1.32,-0.00
1118,0,0.05,2.68,1.25,-0.81,-0.1,0.06,0.19,2.05,1.32,-0.00
1134,0,0.06,2.68,1.25,-0.31,-0.19,0.00,0.20,2.05,1.32,-0.00
1181,0,0.06,2.68,1.25,-0.44,-0.19,0.06,0.20,2.05,1.32,-0.00
1209,0,0.06,2.68,1.25,-0.37,-0.13,-0.06,0.20,2.05,1.32,-0.00
1238,0,0.06,2.68,1.25,-0.31,0.06,0.00,-0.01,2.05,1.32,-0.00
1264,0,0.06,2.68,1.25,0.06,0.06,0.13,-0.01,2.05,1.32,0.00
1316,0,0.06,2.68,1.25,0.19,0.06,0.06,0.20,2.05,1.32,-0.00
1458,0,0.07,2.68,1.25,-0.50,0.00,0.13,0.00,2.05,1.32,-0.00
1729,0,0.14,2.68,1.25,-0.19,-0.19,0.06,0.07,2.05,1.32,-0.00
1754,0,0.11,2.68,1.25,-0.19,-0.19,0.00,0.05,2.05,1.32,-0.00
1797,0,0.08,2.68,1.24,-0.13,0.00,0.06,0.01,2.05,1.31,-0.00
1836,0,0.06,2.68,1.24,0.06,0.00,0.13,0.20,2.05,1.31,-0.00
1864,0,0.04,2.68,1.24,0.19,-0.06,0.06,-0.03,2.05,1.31,-0.00
1889,0,0.01,2.68,1.24,-0.25,0.06,0.00,-0.05,2.05,1.31,0.00
1912,0,0.00,2.68,1.24,-0.06,0.00,0.06,0.15,2.05,1.31,-0.00
1957,0,-0.03,2.68,1.24,-0.37,0.00,0.06,0.11,2.05,1.31,-0.00
1984,0,-0.05,2.68,1.24,-0.62,0.06,0.00,0.09,2.05,1.31,-0.00
2013,0,-0.06,2.68,1.24,-0.44,0.00,-0.13,-0.13,2.05,1.31,-0.00
2044,0,-0.06,2.68,1.24,-0.50,-0.13,-0.13,-0.13,2.05,1.31,-0.00
2071,0,-0.06,2.68,1.24,-0.81,0.00,0.06,0.08,2.05,1.31,-0.00
2118,0,-0.06,2.68,124,-0.62,0.06,0.06,0.08,2.05,1.31,-0.00
2135,0,-0.06,2.68,1.23,-0.56,-0.06,-0.06,-0.13,2.05,1.31,-0.00
2163,0,-0.06,2.68,1.23,-0.44,-0.13,0.00,0.08,2.05,1.30,-0.00
2213,0,-0.08,2.68,1.23,-0.44,0.13,0.06,-0.15,2.05,1.30,-0.00
2237,0,-0.10,2.68,1.23,-0.19,-0.19,0.00,-0.16,2.05,1.30,0.00
2300,0,-0.13,2.68,1.23,0.25,-0.13,0.00,0.01,2.05,1.30,0.00
2343,0,-0.15,2.68,1.23,0.19,0.06,0.13,-0.22,2.05,1.30,0.00
2365,0,-0.15,2.68,1.23,0.13,-0.25,0.00,-0.22,2.05,1.30,0.00
2384,0,-0.15,2.68,1.23,0.13,0.00,0.00,-0.01,2.05,1.30,0.00
2426,0,-0.15,2.68,1.23,0.00,0.00,0.06,-0.01,2.05,1.30,0.00
2457,0,-0.15,2.68,1.23,-0.25,-0.06,0.00,-0.22,2.05,1.30,0.00
2529,0,-0.13,2.68,1.23,-0.62,0.00,-0.06,0.01,2.05,1.30,-0.00
2557,0,-0.12,2.68,1.23,-0.62,-0.06,-0.06,-0.20,2.05,1.30,-0.00
2657,0,-0.01,2.68,1.23,-0.50,-0.06,-0.06,-0.08,2.05,1.30,-0.00
2815,0,0.02,2.68,1.23,0.25,-0.19,-0.06,-0.05,2.05,1.30,0.00
2841,0,0.02,2.68,1.23,0.37,0.06,0.06,0.16,2.05,1.30,0.00
2887,0,0.02,2.68,1.23,0.13,0.00,0.00,0.16,2.05,1.30,0.00
2915,0,0.02,2.68,1.23,0.00,0.06,0.06,-0.05,2.05,1.30,0.00
2946,0,0.02,2.68,1.23,-0.13,-0.06,-0.06,-0.05,2.05,1.30,0.00
2975,0,0.02,2.68,1.23,-0.13,-0.13,0.00,0.16,2.05,1.30,-0.00
3015,0,0.02,2.68,1.23,-0.13,0.00,0.13,-0.05,2.05,1.30,-0.00
3069,0,0.02,2.68,1.23,-0.44,0.13,-0.13,0.16,2.05,1.30,-0.00
3097,0,0.02,2.68,1.23,-0.44,-0.06,-0.06,-0.05,2.05,1.30,-0.00
3125,0,0.04,2.68,1.23,-0.50,0.00,-0.06,0.17,2.05,1.30,-0.00
3153,0,0.05,2.68,1.23,-0.13,0.00,-0.13,0.19,2.05,1.30,-0.00
3238,0,0.05,2.68,1.23,0.31,-0.06,0.00,-0.02,2.05,1.30,0.00
3351,0,0.04,2.68,1.23,0.69,-0.13,0.00,0.18,2.05,1.30,0.00
3367,0,0.01,2.68,1.23,0.50,0.06,0.13,0.15,2.05,1.30,0.00
3393,0,0.01,2.68,1.23,0.50,0.00,0.00,0.15,2.05,1.30,0.00
3421,0,0.01,2.68,1.23,0.56,-0.13,0.00,0.15,2.05,1.30,0.00
3448,0,0.01,2.68,1.23,0.44,0.00,0.00,-0.06,2.05,1.30,0.00
3476,0,0.01,2.68,1.23,0.25,-0.06,0.00,-0.06,2.05,1.30,0.00
3530,0,0.01,2.68,1.23,-0.19,-0.19,-0.13,0.15,2.05,1.30,-0
3550,0,0.01,2.68,1.23,-0.19,-0.13,0.00,-0.06,2.05,1.30,-0.00
3627,0,0.01,2.68,1.23,-0.13,-0.06,-0.06,0.15,2.05,1.30,-0.00
3704,0,0.01,2.68,1.23,0.31,-0.13,0.06,0.15,2.05,1.30,-0.00
3779,0,0.01,2.68,1.23,0.25,-0.06,0.13,-0.06,2.05,1.30,0.00
3801,0,-0.01,2.68,1.23,0.62,0.00,-0.06,0.14,2.05,1.30,0.00
3848,0,-0.03,2.68,1.23,0.69,0.13,0.06,0.11,2.05,1.30,0.00
3873,0,-0.03,2.68,1.23,0.25,0.00,-0.13,0.11,2.05,1.30,0.00
3900,0,-0.03,2.68,1.23,0.25,0.06,0.00,0.11,2.05,1.30,-0.00
3927,0,-0.03,2.68,1.23,0.19,0.06,0.00,0.11,2.05,1.30,-0.00
3952,0,-0.03,2.68,1.23,0.06,0.06,0.00,0.11,2.05,1.30,-0.00
3999,0,-0.03,2.68,1.23,-0.19,0.00,0.06,0.11,2.05,1.30,-0.00
