millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
928,0,-1.25,5.06,-0.31,1.19,0.06,0.06,-1.31,4.43,-0.24,0.00000088,1014.00,1016.00,100,1015.00
1230,0,0.84,5.06,-0.33,3.12,0.06,0.00,0.80,4.43,-0.26,-0.00000003,1014.00,1014.00,1014.00,1014.00
1318,0,-0.03,5.07,-0.33,9.50,0.31,0.13,-0.01,4.44,-0.26,0.00000172.00000178,1012.00,1018.00,1018.00,1012.00
1390,0,-0.98,5.06,-0.33,7.06,0.31,0.13,-0.91,4.43,-0.26,0.00000171,1012.00,1018.00,1018.00,1012.00
2045,0,-0.39,5.06,-0.35,-9.31,-0.44,-0.25,-0.65,4.43,-0.28,-0.00000142,1017.00,1013.00,101311.00,1017.00
2264,0,0.54,5.05,-0.36,6.12,0.25,-0.06,0.60,4.42,-0.29,0.00000088,1013.00,1015.00,1015.00,1013.00
2293,0,0.31,5.05,-0.36,7.94,0.50,0.06,0.39,4.42,-0.29,0.00000123,1013.00,1017.00,1017.00,1013.00
3072,0,0.55,5.05,-0.39,-7.44,-0.31,-0.06,0.34,4.42,-0.32,-0.00000153,1017.00,1011.00,1011.00,1017.00
3278,0,0.21,5.05,-0.38,8.19,0.31,0.13,0.31,4.42,-0.31,0.00000130,1012.00,1016.00,1016.00,1012.00>012.00
3442,0,-1.05,5.06,-0.38,-2.69,-0.25,-0.19,-1.14,4.42,-0.31,0.00000010,1015.00,1015..00,1014.00,1016.00
4021,0,0.27,5.05,-0.42,-8.63,-0.19,-0.25,0.12,4.42,-0.34,-0.00155,1017.00,1011.00,1011.00,1017.00
4829,0,0.86,5.05,-0.44,2.19,0.13,0.13,0.83,4.42,-0.37,-0.000000100000018,1014.00,1014.00,1014.00,1014.00
5161,0,-1.10,5.05,-0.45,-0.06,-0.19,0.00,-1.17,4.42,-0.38,0.00000058,1014.00,1016.00,1016.00,1014.00
6049,0,-0.59,5.05,-0.47,-8.06,-0.19,-0.13,-0.81,4.42,-0.40,-0.00000144,1016.00,1012.00,1012.00,1016.00
6660,0,-0.94,5.05,-0.47,-3.31,0.00,-0.06,-1.04,4.42,-0.40,-0.00000017,1014.00,1014.00,1014.00,1014.00
7631,0,0.55,5.05,-0.49,-6.12,-0.13,-0.13,0.36,4.42,-0.42,-0.00000136,1016.00,1.00,1013.00,1017.00
8119,0,-1.06,5.04,-0.51,-1.31,0.00,-0.06,-1.14,4.41,-0.44,00000023,1015.00,1015.00,1015.00,1015.00
9187,0,0.66,5.03,-0.54,1.06,0.19,0.00,0.63,4.40,-0.47,-0.00000011,1015.00,1015.00,1015.00,1015.00
9729,0,-0.11,5.03,-0.54,-8.00,-0.19,-0.19,-0.34,4.41,-0.47,-0.0000152,1017.00,1011.00,1011.00,1017.00
10586,0,0.65,5.03,-0.57,-2.56,-0.06,0.00,0.54,4.40,-0.50,-0.000000-0.00000063,1015.00,1013.00,1013.00,1015.00
10648,0,0.67,5.03,-0.57,-0.69,-0.06,0.00,0.60,4.40,-0.50,-0.5,1014.00,1014.00,1014.00,1014.00
10684,0,0.46,5.03,-0.57,4.62,0.00,0.06,0.49,4.40,-0.51,0.00000044,1014.00,1014.00,1014.00,1014.00
10914,0,-0.96,5.03,-0.58,3.69,0.06,0.06,-0.95,4.40,-0.51,0.00000111,1012.00,1016.00,1016.00,1012.00
11801,0,-0.75,5.03,-0.58,-4.12,-0.13,-0.13,-0.85,4.40,-00.51,-0.00000073,1015.00,1013.00,1013.00,1015.00
12184,0,0.31,5.03,-0.60,6.06,0.19,0.13,0.37,4.40,-0.52,0.00000086,1013.00,1015.00,1015.00,1013.00
13445,0,0.60,5.03,-0.62,-4.25,-0.13,-0.37,0.45,4.40,-0.55,-0.00000111,1017.00,1013.00,1013.00,1017.00
13676,0,-0.02,5.02,-0.63,6.81,0.25,0.19,0.05,4.39,-0.56,0.00000111,1012.00,1016.00,1016.00,1012.00
14940,0,0.61,5.03,-0.66,-1.87,-0.06,-0.13,0.49,4.40,-0.59,-0.00000069,1016.00,1014.00,1014.00,1016.00
15174,0,-0.27,5.03,-0.66,6.37,0.25,0.00,-0.21,4.40,-0.59,0.00000129,1012.00,1016.00,1016.00,1012.00
15215,0,-0.51,5.03,-0.66,6.12,0.19,0.00,-0.46,4.40,-0.59,0.00000128,1013.00,1017.00,1017.00,1013.00
15523,0,-0.03,5.02,-0.66,-7.12,-0.25,-0.19,-0.16,4.39,-0.59,-0.00000125,1016.00,1012.00,1012.00,1016.00
17603,0,-0.70,5.02,-0.72,-4.00,0.06,-0.13,-0.84,4.39,-0.65,-0.00000033,1014.00,1014.00,1014.00,1014.00
17933,0,0.49,5.02,-0.73,2.25,0.13,0.25,0.45,4.39,-0.66,0.00000009,1014.00,1014.00,1014.00,1014.00
17971,0,0.34,5.02,-0.73,4.19,0.25,0.13,0.35,4.39,-0.66,0.00000050,1013.00,1015.00,1015.00,1013.00
18196,0,-0.86,5.02,-0.74,2.19,0.25,0.06,-0.88,4.39,-0.67,0.00000084,1013.00,1015.00,1015.00,101
19209,1,0.10,5.02,-0.74,-6.00,-0.19,-0.94,-0.08,4.39,-0.68,-0.00000115,1016.00,1012.00,1012.00,1016.00
19245,1,0.30,5.02,-0.74,-5.00,-0.06,-0.56,0.13,4.39,-0.67,-0.00000104,1016.00,1012.00,1012.00,1016.00
19777,1,-0.05,5.04,-0.75,-5.12,-0.19,0.06,-0.22,4.41,-0.67,-0.00000097,1140.00,1138.00,1138.00,1140.00
19819,1,0.07,5.04,-0.75,-4.94,-0.19,0.44,-0.07,4.41,-0.67,-0.00000088,1140.00,1138.00,1138.00,114
20312,1,-0.61,5.01,-0.78,-0.81,0.00,0.62,-0.68,4.38,-0.71,0.00002,1139.00,1139.00,1139.00,1139.00
20370,1,-0.48,5.01,-0.78,-2.69,0.00,-0.31,-0.59,4.38,-0.72,-0.00000033,1139.00,1139.00,1139.00,1139.00
20692,1,0.29,4.98,-0.80,2.25,0.06,0.06,0.25,4.35,-0.73,0.00000006,1180.00,1180.00,1180.00,1180.00
20977,1,-0.41,5.06,-0.81,-4.19,-0.44,-0.25,-35.48,4.22,-0.74,0.00000939,1161.00,11197.00,1197.00,1163.00
21037,1,0.38,5.05,-0.81,-14.56,-0.56,-0.44,-34.88,4.21,-0.74,0.00000733,1166.00,1194.00,1194.00,1166.00
21387,1,1.38,4.98,-0.83,20.81,-0.50,0.31,1.52,4.36,-0.76,0.00000278,1175.00,1185.00,1185.00,1175.00
21730,1,-0.89,5.16,-0.87,-15.63,-0.75,-0.25,0.61,4.55,-0.80,-0.00000315,1186.00,1174.00,1174.00,1186.00
22536,1,1.67,5.02,-0.98,-5.62,0.13,0.13,1.50,4.40,-0.91,-0.00000192,1183.00,1177.00,1177.00,1183.00
23224,1,0.73,5.04,-1.00,0.19,1.06,0.00,0.66,4.40,-0.93,-0.00000032,1180.00,1180.00,1180.00,1180.00
24147,1,-0.96,5.09,-1.00,3.69,-0.50,0.06,-0.95,4.46,-0.94,0.00000108,1178.00,1182.00,1182.00,1178.00
24178,1,-1.05,5.09,-1.01,1.31,0.13,0.44,-1.07,4.46,-0.93,0.00000102,1178.00,1182.00,1182.00,1178.00
24455,1,-0.27,5.10,-1.01,-4.69,1.44,-0.31,-0.44,4.45,-0.93,-0.000000076,1181.00,1179.00,1179.00,1181.00
25188,1,0.12,5.10,-1.00,-3.94,1.25,-0.06,-0.02,4.46,-0.94,-0.00000020,1180.00,1180.00,1180.00,1180.00
26102,1,-0.10,5.02,-1.02,1.25,0.69,-0.06,-0.14,4.39,-0.95,0.00000021,1180.00,1180.00,1180.00,1180.00
26451,1,-0.23,5.01,-1.03,-4.62,0.31,-0.31,-0.35,4.38,-0.96,-0.00000030,1180.00,1180.00,1180.00,1180.00
26494,1,-0.16,5.02,-1.03,-2.75,1.37,-0.19,-0.28,4.38,-0.96,-0.00000018,1180.00,1180.00,1180.00,11800
26795,1,-0.15,5.03,-1.04,3.75,-1.44,0.31,-0.16,4.41,-0.96,0.00000018,1180.00,1180.00,1180.00,1180.00
26839,1,-0.24,5.04,-1.03,1.19,0.88,0.19,-0.26,4.41,-0.96,0.00000067,1179.00,1181.00,1181.00,1179.00
26989,1,-0.47,5.04,-1.04,2.44,0.50,-0.13,-54,4.42,-0.97,0.00000000,1180.00,1180.00,1180.00,1180.00
27141,1,-0.16,5.04,-1.04,-1.69,0.00,0.13,-0.28,4.41,-0.96,-0.00000023,1180.00,1180.00,1180.00,1180.00
27733,1,-0.29,5.03,-1.05,-2.00,-0.19,0.19,-0.38,4.40,-0.98,-0.00000007,1180.00,1180.00,1180.00,1180.00
28405,1,-0.25,5.02,-1.07,-0.25,-0.88,0.00,-0.31,4.40,-1.00,0.00000028,1180.00,1180.00,1180.00,1180.00
28747,1,0.02,5.04,-1.08,-2.75,1.06,-0.25,-0.08,4.41,-1.00,0.00000031,1180.00,1180.00,1180.00,1180.00
29440,1,-0.05,5.09,-1.09,-0.25,0.56,0.06,-0.10,4.46,-1.02,-0.00000038,1180.00,1180.00,1180.00,1180.00
29783,1,-0.31,5.11,-1.10,3.12,0.25,0.06,-0.35,4.48,-1.03,0.00000014,1180.00,1180.00,1180.00,1180.00
29825,1,-0.33,5.11,-1.10,0.31,0.13,0.06,-0.39,4.50,-1.03,0.00000035,1180.00,1180.00,1180.00,1180.00
30674,1,-0.19,5.13,-1.10,0.25,1.56,0.06,-0.26,4.4,-1.03,-0.00000031,1180.00,1180.00,1180.00,1180.00
31053,1,0.12,5.16,-1.11,1.75,0.56,0.37,0.09,4.52,-1.04,-0.00000011,1180.00,1180.00,1180.00,1180.00
31091,1,0.10,5.16,-1.11,0.62,-1.37,0.37,0.05,4.54,-1.04,-0.00000025,1180.00,1180.00,1180.00,1180.00
