millis,armed,flip,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
156,0,0,-0.41,5.11,-0.14,-0.50,-0.06,0.00,-0.48,4.48,-0.07,0.00000004,1017.00,1017.00,1017.00,1017.00
280,0,0,-0.27,5.09,-0.14,-1.19,-0.06,-0.06,-0.34,4.46,-0.07,-0.00000013,1017.00,1017.00,1017.00,1017.00
396,0,0,-0.28,5.08,-0.15,0.37,0.00,0.00,-0.35,4.45,-0.08,0.00000017,1017.00,1017.00,1017.00,1017.00
476,0,0,-0.34,5.08,-0.15,0.88,0.00,-0.06,-0.41,4.45,-0.08,0.00000027,1017.00,1017.00,1017.00,1017.00
577,0,0,-0.43,5.08,-0.15,0.56,0.00,0.06,-0.50,4.45,-0.08,0.00000024,1017.00,1017.00,1017.00,1017.00
641,0,0,-0.41,5.08,-0.15,-0.88,0.13,-0.06,-0.48,4.45,-0.08,-0.00000003,1000,1017.00,1017.00,1017.00
758,0,0,-0.28,5.08,-0.15,-1.44,0.00,-0.06,-0.35,4.45,-0.08,-0.00000017,1017.00,1017.00,1017.00,1017.00
1000,0,0,-0.20,5.08,-0.15,0.75,0.19,-0.06,-0.27,4.45,-0.08,0.00000021,1017.00,1017.00,1017.00,1017.00
1215,0,0,-0.25,5.08,-0.15,-0.69,-0.06,-0.13,-0.32,4.45,-0.08,-0.00000004,1017.00,1017.00,1017.00,1017.00
1380,0,0,-0.11,5.07,-0.16,-1.06,0.00,0.00,-0.18,4.44,-0.09,-0.00000015,1017.00,1017.00,1017.00,1017.00
1635,0,0,-0.29,5.05,-0.17,0.31,0.19,-0.13,-0.36,4.42,-0.10,0.00000016,1017.00,1017.00,1017.00,1017.00
1882,0,0,-0.21,5.04,-0.19,-0.81,0.00,-0.19,-0.28,4.41,-0.12,-0.00000007,1017.00,1017.00,1017.00,1017.00
2033,0,0,-0.25,5.04,-0.19,0.56,0.13,-0.13,-0.32,4.41,-0.12,0.00000019,1017.00,1017.00,1017.00,1017.00
2181,0,0,-0.27,5.04,-0.19,0.00,0.13,-0.06,-0.34,4.41,-0.12,0.00000009,1017.00,1017.00,1017.00,1017.00
2211,0,0,-,5.04,-0.19,-0.75,0.06,0.06,-0.32,4.41,-0.12,-0.00000005,1017.00,1017.00,1017.00,1017.00
2271,0,0,-0.18,5.04,-0.19,-0.94,0.13,-0.25,-0.25,4.41,-0.12,-0.00000010,1017.00,1017.00,1017.00,1017.00
2323,0,0,-0.15,5.04,-0.20,-1.31,-0.06,-0.13,-0.22,4.41,-0.13,-0.00000018,1017.00,1017.00,1017.00,1017.00
2366,0,0,-0.07,5.04,-,-1.19,-0.06,-0.06,-0.14,4.41,-0.12,-0.00000018,1017.00,1017.00,1017.00,1017.00
2483,0,0,-0.09,5.04,-0.20,-0.31,0.00,-0.06,-0.16,4.41,-0.13,-0.00000001,1017.00,1017.00,1017.00,1017.00
2712,0,0,-0.30,5.03,-0.22,-0.62,-0.06,0.00,-0.37,4.40,-0.15,-0.00000001,1017.00,1017.00,1017.00,1017.00
2831,0,0,-0.21,5.02,-0.22,-1.19,-0.06,-0.06,-0.28,4.39,-0.15,-0.00000014,1017.00,1017.00,1017.00,1017.00
2858,0,0,-,5.02,-0.23,-0.62,-0.06,0.00,-0.28,4.39,-0.16,-0.00000004,1017.00,1017.00,1017.00,1017.00
2941,0,0,-0.21,5.02,-0.23,-0.13,0.00,0.06,-0.28,4.39,-0.16,0.00000005,1017.00,1017.00,1017.00,1017.00
3122,0,0,-0.32,5.02,-0.24,0.37,-0.13,0.00,-0.39,4.39,-0.17,0.00000018,1017.00,1017.00,1017.00,1017.00
3517,0,0,-0.12,5.02,-0.24,0.44,0.00,0.06,-0.19,4.39,-0.17,0.00000013,1017.00,1017.00,1017.00,1017.00
3677,0,0,-0.23,5.01,-0.25,-0.06,0.00,0.00,-0.30,4.38,-0.18,0.00000007,1017.00,1017.00,1017.00,1017.00
3777,0,0,-0.23,5.01,-0.25,-0.94,-0.06,0.06,-0.30,4.38,-0.18,-0.00000009,1017.00,1017.00,1017.00,1017.00
3954,0,0,-0.19,5.00,-0.26,-0.31,0.19,0.00,-0.26,4.37,-0.19,0.00000002,1017.00,1017.00,1017.00,1017.00
3976,0,0,-0<16854,0,0,-0.22,5.00,-0.26,0.31,0.00,-0.06,-0.29,4.37,-0.19,0,1017.00
4002,0,0,-0.24,5.00,-0.26,0.37,0.00,0.00,-0.31,4.37,-0.19,0.00000015,1017.00,1017.00,1017.00,1017.00
4029,0,0,-0.24,5.00,-0.26,0.37,-0.06,0.00,-0.31,4.37,-0.19,0.00000016,1017.00,1017.00,1017.00,1017.00
4181,0,0,-0.34,5.00,-0.27,-0.44,0.06,-0.06,-0.41,4.37,-0.20,0.00000003,1017.00,1017.00,1017.00,1017.00
4298,0,0,-0.26,5.00,-0.28,-1.12,-0.13,0.00,-0.33,4.37,-0.21,-0.00000012,1017.00,1017.00,1017.00,1017.00
4418,0,0,-0.18,5.00,-0.27,-0.25,0.00,0.06,-0.25,4.37,-0.20,0.00000002,1017.00,1017.00,1017.00,1017.00
4465,0,0,-0.18,5.00,0.27,0.13,0.19,0.00,-0.25,4.37,-0.20,0.00000009,1017.00,1017.00,1017.00,1017.00
4582,0,0,-0.18,5.00,-0.27,0.44,0.06,-0.06,-0.25,4.37,-0.20,0.00000015,1017.00,1017.00,1017.00,1017.00
4629,0,0,-0.18,5.00,-0.27,0.19,-0.06,-0.06,-0.25,4.37,-0.20,0.00000010,101700,1017.00,1017.00,1017.00
4719,0,0,-0.15,4.99,-0.28,-0.81,0.13,-0.06,-0.22,4.36,-0.21,-0.00000009,1017.00,1017.00,1017.00,1017.00
4940,0,0,-0.20,4.99,-0.30,0.19,0.13,0.00,-0.27,4.36,-0.23,0.00000011,1017.00,1017.00,1017.00,1017.00
5128,0,0,-0.30,4.99,-0.30,-0.31,0.13,-0.13,-0.37,4.36,-0.23,0.00000005,1017.00,1017.00,1017.00,1017.00
5234,0,0,-0.31,4.99,-0.31,-0.94,-0.13,0.00,-0.38,4.36,-0.24,-0.00000007,1017.00,1017.00,1017.00,1017.00
5339,0,0,-0.27,4.99,-0.31,-0.69,0.06,-0.19,-0.34,4.36,-0.24,-0.00000003,1017.00,1017.00,1017.00,1017.00
5476,0,0,-0.27,4.99,-0.31,-0.06,-0.06,-0.19,-0.34,4.36,-0.24,0.00000008,1017.00,1017.00,1017.00,1017.00
5836,0,0,-0.32,4.99,-0.32,-0.25,-0.06,0.00,-0.39,4.36,-0.25,0.00000006,1017.00,1017.00,1017.00,1017.00
6047,0,0,-0.20,4.99,-0.32,-0.94,-0.13,-0.06,-0.27,4.36,-0.25,-0.00000010,1017.00,1017.00,1017.00,1017.00
6282,0,0,-0.17,4.99,-0.32,0.06,0.13,0.00,-0.24,4.36,-0.25,0.00000008,1017.00,1017.00,1017.00,1017.00
6463,0,0,-0.18,4.99,-0.32,0.31,0.13,0.06,-0.25,4.36,-0.25,0.00000013,1017.00,1017.00,1017.00,1017.00
6615,0,0,-0.18,4.98,-0.32,-0.94,0.06,0.00,-0.25,4.35,-0.25,-0.00000010,1017.00,1017.00,1017.00,1017.00
6842,0,0,-0.11,4.98,-0.33,-0.37,0.13,-0.06,-0.18,4.35,-0.26,-0.00000002,1017.00,1017.00,1017.00,1017.00
6916,0,0<20304,0,0,-0.15,4.98,-0.34,-0.13,0.13,-0.06,-0.22,4.35,-0.27,1017.00,1017.00,1017.00
7195,0,0,-0.29,4.98,-0.34,0.25,0.25,-0.06,-0.36,4.35,-0.27,0.00000015,1017.00,1017.00,1017.00,1017.00
7546,0,0,-0.24,4.97,-0.36,-0.50,-0.13,-0.19,-0.31,4.34,-0.29,-0.00000001,1017.00,1017.00,1017.00,1017.00
7898,0,0,-0.34,4.97,-0.37,0.25,0.00,-0.06,-0.41,4.34,-0.30,0.00000016,1017.00,1017.00,1017.00,1017.00
8117,0,0,-0.22,4.97,-0.37,-1.00,-0.13,0.06,-0.29,4.34,-0.30,-0.00000010,1017.00,1017.00,1017.00,1017.00
8359,0,0,-0.14,4.97,-0.36,0.06,0.06,0.06,-0.21,4.34,-0.29,0.00000007,1017.00,1017.00,1017.00,1017.00
8649,1,0,-0.23,4.97,-0.36,-0.37,-0.06,-0.06,-0.30,4.34,-0.29,0.00000001,1017.00,1017.00,1017.00,1017.00
8684,1,0,-0.23,4.96,-0.36,-0.56,-0.13,0.06,-0.30,4.33,-0.29,-0.00000002,1017.00,1017.00,1017.00,1017.00
8919,1,0,-0.21,4.95,-0.37,-0.62,0.31,-0.13,-0.28,4.32,-0.30,-0.00000004,1017.00,1017.00,1017.00,1017.00
9265,1,0,-0.34,4.95,-0.39,-0.13,0.06,-0.06,-0.41,4.32,-0.32,0.00000009,1017.00,1017.00,1017.00,1017.00
9494,1,0,-,4.95,-0.38,0.56,0.00,0.50,-0.50,4.32,-0.31,0.00000024,1017.00,1017.00,1017.00,1017.00
9606,1,0,-0.49,4.96,-0.38,-0.19,-0.06,-0.62,-0.56,4.33,-0.31,0.00000012,1017.00,1017.00,1017.00,1017.00
