millis,armed,flip,roll,pitch,yaw,mfr,fp,gx,gy,gz,spr,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
812,0,0,0.27,5.34,0.03,0.00,0,0.00,0.19,0.06,0.00,0.27,5.34,0.03,-0.00000007,1000.00,1000.00,1000.00,1000.00
985,0,0,7,5.34,0.03,0.00,0,-0.25,0.06,0.00,0.00,0.27,5.34,0.03,-0.00000012,1000.00,1000.00,1000.00,1000.00
1781,0,0,0<11330,0,0,0.27,5.34,0.03,0.00,0,0.06,-0.13,0.19,0.00,0.27,5.300.00,1000.00,1000.00,1000.00
1935,0,0,0.27,5.34,0.03,0.00,0,0.00,-0.13,0.00,0.00,0,5.34,0.03,-0.00000007,1000.00,1000.00,1000.00,1000.00
2266,0,0,0.27,5.34,0.03,0.00,0,0.19,-0.06,-0.06,0.00,0.27,5.34,0.03,-0.00000004,1000.00,1000.00,1000.00,1000.00
2992,0,0.27,5.34,0.03,0.00,0,-0.06,-0.06,-0.06,0.00,0.27,5.34,0.03,-0.00000009,1000.00,1000.00,1000.00,1000.0000,1000.00
3154,0,0,0.27,5.34,0.03,0.00,0,0.13,0.19,0.19,0.00,0.27,5.34,0.03,-0.00000005,1000.00,1000.00,1000.00,1000.0000
3184,0,0,0.27,5.34,0.03,0.00,0,-0.06,0.00,0.13,0.00,0.27,5.34,0.03,-0.00000009,1000.00,1000.00,1000.00,1000.00
3364,0,0,0.27,534,0.03,0.00,0,0.00,0.06,-0.06,0.00,0.27,5.34,0.03,-0.00000007,1000.00,1000.00,1000.00,1000.00
3521,0,0,0.27,5.34,0.03,0.00,0,0.00,0.06,0.00,0.00,0.27,5.34,0.03,-0.00000007,1000.00,1000.00,1000.00,1000.00
3997,0,0,0.27,5.34,0.03,0.00,0,-0.13,0.06,0.25,0.00,0.27,5.34,0.03,-0.00000010,1000.00,1000.00,1000.00,1000.00
4474,0,0,0.27,5.34,0.03,0.00,0,0.00,06,0.06,0.00,0.27,5.34,0.03,-0.00000007,1000.00,1000.00,1000.00,1000.00
4701,0,0,0.27,5.34,0.03,0.00,0,0.13,-0.13,0.00,0.00,0.27,5.34,0.03,-0.00000005,1000.00,1000.00,1000.00,1000.00
5844,0,0,0.<16617,0,0,0.27,5.34,0.03,0.00,0,-0.06,0.13,0.06,0.00,0.27,5.300,1000.00,1000.00,1000.00
