millis,armed,fp,roll,pitch,yaw,mfr,gx,spr,err_roll,u2
80,0,0,-0.52,5.88,-0.37,0.00,9.75,0.07,-0.59,0.000002
103,0,0,-0.79,5.88,-0.37,0.00,8.25,0.07,-0.86,0.000002
147,0,0,-1.22,5.87,-0.37,0.00,2.62,0.07,-1.29,0.000001
178,0,0,-1.24,5.87,-0.37,0.00,-0.44,0.07,-1.31,0.000000
253,0,0,-0.61,5.88,-0.37,0.00,-9.63,0.07,-0.68,-0.000002
303,0,0,0.18,5.88,-0.38,0.00,-10.50,0.07,0.11,-0.000002
366,0,0,0.84,5.87,-0.38,0.00,-7.19,0.07,0.77,-0.000002
384,0,0,0.99,5.87,-0.38,0.00,-4.69,0.07,0.92,-0.000001
457,0,0,0.83,5.87,-0.39,0.00,5.62,0.07,0.76,0.000001
499,0,0,0.27,5.86,-0.39,0.00,9.25,0.07,0.20,0.000002
537,0,0,-0.13,5.87,-0.40,0.00,10.19,0.07,-0.20,0.000002
609,0,0,-1.11,5.87,-0.40,0.00,5.31,0.07,-1.18,0.000001>
635,0,0,-1.23,5.87,-0.40,0.00,3.12,0.07,-1.30,0.000001
667,0,0,-1.24,5.87,-0.40,0.00,-1.44,0.07,-1.31,0.000
697,0,0,-1.15,5.87,-0.39,0.00,-4.12,0.07,-1.22,-0.000000
730,0,0,-0.91,5.87,-0.40,0.00,-7.12,0.07,-0.98,-0.000001
829,0,0,0.11,5.86,-0.40,0.00,-10.38,0.07,0.04,-0.000002
864,0,0,0.59,5.87,-0.40,0.00,-9.19,00.07,0.69,-0.000002
878,0,0,0.83,5.87,-0.40,0.00,-7.50,0.07,0.76,-0.000002
912,0,0,1.03,5.87,-0.40,0.00,-4.62,0.07,0.96,-0.000001
957,0,0,1.04,5.86,-0.40,0.00,2.44,0.07,0.97,0.000000
970,0,0,0.97,5.87,-0.41,0.00,3.87,0.07,0.90,0.000000
1038,0,0,0.30,5.86,-0.41,0.00,9.25,0.07,0.23,0.000002
1053,0,0,0.20,5.86,-0.41,0.00,9.69,0.07,0.10.04,0.000002
1067,0,0,0.01,5.86,-0.41,0.00,10.00,0.07,-0.06,0.000002
1132,0,0,-0.71,5.86,-0.41,0.00,7.81,0.07,-0.78,0.000002
1190,0,0,-1.10,5.86,-0.41,0.00,1.75,0.07,-1.17,0.000001
1208,0,0,-1.09,5.86,-0.41,0.00,-1.50,0.07,-1.16,0.000000
1245,0,0,-0.95,5.86,-0.42,0.00,-4.81,0.07,-1.02,-0.000001
1281,0,0,-0.47,5.85,-0.42,0.00,-9.06,0.07,-0.54,-0.000002
1318,0,0,-0.11,5.86,-0.42,0.00,-10.19,0.07,-0.18,-0.000002
1344,0,0,0.36,5.86,-0.42,0.00,-10.06,0.07,0.29,-0.000002
1402,0,0,0.87,5.86,-0.42,0.00,-6.87,0.07,0.80,-0.000001
1462,0,0,1.07,5.85,-0.43,0.00,-1.00,0.07,1.00,-0.000000
1523,0,0,0.82,5.85,-0.43,0.00,5.25,0.07,0.75,0.000001
1559,0,0,0.52,5.85,-0.44,0.00,8.00,0.07,0.45,0.000001
1629,0,0,-0.58,5.85,-0.44,0.00,8.88,0.07,-0.65,0.000002
1647,0,0,-0.74,5.85,-0.44,0.00,7.94,0.07,-0.81,0.000002
1703,0,0,-1.16,5.85,-0.44,0.00,1.56,0.07,-1.23,0.000001
1774,0,0,-1.01,5.85,-0.44,0.00,-5.12,0.07,-1.08,-0.000001
1826,0,0,-0.51,5.85,-0.45,0.00,-9.06,0.07,-0.58,-0.000002
1853,0,0,-0.16,5.86,-0.45,0.00,-10.00,0.07,-0.23,-0.000002
1871,0,0,0.12,5.86,-0.45,0.00,-9.75,0.07,0.05,-0.000002
1947,0,0,0.92,5.85,-0.46,0.00,-3.94,0.07,0.85,-0.000001
1997,0,0,0.92,5.85,-0.46,0.00,2.50,0.07,0.85,0.000000
2010,0,0,0.79,5.85,-0.46,0.00,4.94,0.07,0.72,0.000001
2022,0,0,0.73,5.85,-0.46,0.00,5.62,0.07,0.66,0.000001
2037,0,0,0.52,5.85,-0.46,0.00,7.12,0.07,0.45,0.000001
2052,0,0,0.45,5.85,-0.46,0.00,7.81,0.07,0.3,0.000002
2065,0,0,0.09,5.85,-0.46,0.00,9.19,0.07,0.02,0.000002
2175,0,0,-1.01,5.85,-0.46,0.00,4.87,0.07,-1.08,0.000001
2205,0,0,-1.14,5.85,-0.46,0.00,2.37,0.07,-1.21,0.000001
2267,0,0,-0.83,5.85,-0.47,0.00,-7.06,0.07,-0.90,-0.000001
2345,0,0,0.24,5.85,-0.46,0.00,-9.38,0.07,0.17,-0.000002
2359,0,0,0.33,5.85,-0.47,0.00,-9.19,0.07.07,0.51,-0.000002
2397,0,0,0.82,5.85,-0.47,0.00,-5.75,0.07,0.75,-0.000001
2429,0,0,0.95,5.85,-0.47,0.00,-2.94,0.07,0.88,-0.0000000
2461,0,0,0.96,5.85,-0.48,0.00,-0.37,0.07,0.89,-0.000000
2494,0,0,0.85,5.85,-0.47,0.00,3.50,0.07,0.78,0.000000
2550,0,0,0.32,5.85,-0.48,0.00,7.87,0.07,0.25,0.000001
2570,0,0,0.15,5.85,-0.48,0.00,8.50,0.07,0.08,0.000002
2604,0,0,-0.21,5.85,-0.48,0.00,9.13,0.07,-0.28,0.000002
2652,0,0,-0.85,5.85,-0.48,0.00,6.56,0.07,-0.92,0.000001
2680,0,0,-1.05,5.85,-0.48,0.00,3.75,0.07,-1.12,0.000001
2723,0,0,-1.10,5.85,-0.48,0.00,-2.12,0.07,-1.17,-0.000000
2741,0,0,-1.01,5.85,-0.49,0.00,-4.50,0.07,-1.08,-0.000001
2835,0,0,-0.12,5.85,-0.49,0.00,-9.44,0.07,-0.19,-0.000002
