millis,armed,flip,phase,sp_r_r,gx,er,sp_r,roll,ch_thr,m1,m2,m3,m4
117,0,0,0,0.00,0.06,0.00,0.07,0.12,1011,1011.00,1011.00,1011.00,1011.00
175,0,0,0,0.00,0.19,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
225,0,0,0,0.00,0.06,0.00,0.07,0.12,1011,1012.00,1012.00,1012.00,1012.00
246,0,0,0,0.00,0.00,0.00,0.07,0.12,1012,1011.00,1011.00,1011.00,1011.00
284,0,0,0,0.00,-0.13,0.00,0.07,0.12,1012,1011.00,1011.00,1011.00,1011.001.00
304,0,0,0,0.00,-0.19,0.00,0.07,0.12,1012,1011.00,1011.00,1011.00,1011.00
356,0,0,0,0.00,0.06,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
390,0,0,0,0.00,-0.06,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
410,0,0,0,0.00,0.00,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
447,0,0,0,0.00,-0.13,0.00,0.07,0.12,1012,1012012.00,1012.00,1012.00,1012.00
484,0,0,0,0.00,0.06,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
584,0,0,0,0.00,0.19,0.00,0.07,0.12,1011,1011.00,1011.00,1011.00,1011.00
642,0,0,0,0.00,-0.19,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
742,0,0,0,0.00,0.00,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
762,0,0,0,0.00,-0.25,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
866,0,0,0,0.00,0.19,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
904,0,0,0,0.00,-0.13,0.00,0.07,0.12,1012,1012.00,1012012.00,1012.00,1012.00
977,0,0,0,0.00,0.06,0.00,0.07,0.12,1012,1011.00,1011.00,1011.00,1011.00
1011,0,0,0,0.00,-0.06,0.00,0.,0.12,1012,1012.00,1012.00,1012.00,1012.00
1104,0,0,0,0.00,-0.06,0.00,0.07,0.12,1011,1011.00,1011.00,1011.00,1011.00
1209,0,0,0,0.00,0.00,0.00,0.07,0.12,1011,1011.00,1011.00,1011.00,1011.00
1326,0,0,0,0.00,-0.06,0.00,0.07,0.12,1012,1012.00,1012.00,102.00,1012.00
1353,0,0,0,0.00,-0.13,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
1418,0,0,0,0.00,0.00,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
1475,0,0,0,0.00,0.00,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
1610,0,0,0,0.00,0.19,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
1690,0,0,0,0.0,0.00,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
1730,0,0,0,0.00,0.00,0.00,0.07,0.12,1011,1012.00,1012.00,1012.00,1012.00
1791,0,0,0,0.00,-0.06,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
1855,0,0,0,0.00,0.00,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
1894,0,0,0,0.00,0.00,0.00,0.07,0.12,1011,1011.00,1011.00,1011.00,101011.00
1914,0,0,0,0.00,-0.25,0.00,0.07,0.12,1011,1011.00,1011.00,1011.00,1011.00
1967,0,0,0,0.00,-0.19,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
2000,0,0,0,0.00,0.00,0.00,0.07,0.12,1011,10100,1011.00,1011.00,1011.00
2020,0,0,0,0.00,-0.06,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
2056,0,0,0,0.00,-0.06,0.00,0.07,0.12,1012,1011012.00,1012.00,1012.00,1012.00
2092,0,0,0,0.00,0.06,0.00,0.07,0.12,1011,1011.00,1011.00,1011.00,1011.00
2128,0,0,0,0.00,-0.13,0.00,0.07,0.12,1011,1011.00,1011.00,1011.00,1011.00
2161,0,0,0,0.00,0.06,0.,0.07,0.12,1011,1012.00,1012.00,1012.00,1012.00
2252,0,0,0,0.00,0.06,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
2353,0,0,0,0.00,0.06,0.00,0.07,0.12,1012,1011.00,1011.00,1011.00,1011.00
2457,0,0,0,0.00,0.19,0.00,0.07,0.12,1011,1011.00,1011.00,1011.,1011.00
2477,0,0,0,0.00,-0.06,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
2513,0,0,0,0.00,0.19,0.00,0.07,0.12,1011,1012.00,1012.00,1012.000,1011.00
2532,0,0,0,0.00,0.00,0.00,0.07,0.12,1011,1011.00,1011.00,1011.00,1011.00
2585,0,0,0,0.00,0.19,0.00,0.07,0.12,1012,1011.00,1011.00,1011.00,1011.00
2636,0,0,0,0.00,-0.13,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
2710,0,0,0,0.00,-0.13,0.00,0.07,0.12,1011,1011.00,1011.00,1011.00,1011.00
2820,0,0,0,0.00,-0.19,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
2880,0,0,0,0.00,-0.31,0.00,0.07,0.12,1011,1011.00,1011.00,1011.00,1011.00
2951,0,0,0,0.00,0.06,0.00,0.07,0.12,1011,1011.00,1011.00,1011.00,1011.00
2990,0,0,0,0.00,-0.06,0.00,0.07,0.12,1011,1011.00,1011.00,1011.00,1011.001.00
3011,0,0,0,0.00,-0.06,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
3064,0,0,0,0.00,-0.06,0.00,0.07,0.12,1011,1012.00,1012.00,1012.00,1012.00
3096,0,0,0,0.00,0.25,0.00,0.07,0.12,1012,10120,1012.00,1012.00,1012.00
3116,0,0,0,0.00,-0.06,0.00,0.07,0.12,1012,1012.00,1012.00,1012.00,1012.00
3153,0,0,0,0.00,0.13,0.00,0.07,0.12,1012,1012.0000,1012.00,1012.00,1012.00
3226,0,0,0,0.00,0.06,0.00,0.07,0.12,1012,1011.00,1011.00,1011.00,1011.00
3316,0,0,0,0.00,0.25,0.00,0.07.07,0.12,1011,1011.00,1011.00,1011.00,1011.00
