micros,arm,flip,phase,spf_roll,roll_abs,roll,spf_r_rate,gxrs,error_roll,error_r_rate,u2ch_thr,m1,m2,m3,m4
218,0,0,0,0.00,0.00,0.25,0.00,10.19,-0.25,-9.19,0.00000,013.00,1021.00,1021.00,1013.00
505,0,0,0,0.00,0.00,0.28,0.00,-0.24,9.56,-0.00000,1017,1018.00,1012.00,1012.00,1018.00
825,0,0,0,0.00,0.00,-1.44,0.00,3.44,-2,0.00000,1017,1014.00,1016.00,1016.00,1014.00
1885,0,0,0,0.00,0.00,-0.77,0.00,-7.69,-17,-0.00000,1015,1017.00,1013.00,1013.00,1017.00
2452,0,0,0,0.00,0.00,0.66,0.00,-5.12,-0.14,6.25,017,1018.00,1016.00,1016.00,1018.00
2858,0,0,0,0.00,0.00,0.57,0.00,-6.75,-0.26,7.69,-0.00000,.00,1013.00,1013.00,1017.00
3143,0,0,0,0.00,0.00,-1.04,0.00,0.88,-1.73,-2.37,0.00000,1015,1014.00,1016.00,1015.00
3844,0,0,0,0.00,0.00,-0.14,0.00,-7.81,-0.98,7.87,-0.00000,1017,1019.00,1015.0,1019.00
4542,0,0,0,0.00,0.00,-0.40,0.00,-6.87,-1.23,6.19,-0.00000,1017,1016.00,1014.00,1014..00
5469,0,0,0,0.00,0.00,0.51,0.00,-2.56,-0.21,3.31,-0.00000,1015,1016.00,1014.00,1014.00
11029,0,0,0,0.00,0.00,-0.51,5,-1.19,2.12,-0.00000,1015,1015.00,1015.00,1015.00,1015.00
11712,0,0,0,0.00,0.00,-0.49,0.00,00,0.44,0.00000,1017,1015.00,1015.00,1015.00,1015.00
12634,0,0,0,0.00,0.00,-0.07,0.0,-0.70,3.25,-0.00000,1015,1015.00,1015.00,1015.00,1015.00
13778,0,0,0,0.00,0.00,-0.22,0.00,1.62,-0.88,-1.94,0.0,1014.00,1016.00,1016.00,1014.00
14699,0,0,0,0.00,0.00,-0.27,0.00,-1.81,-1.00,1.69,-0.005,1015.00,1015.00,1015.00,1015.00
16310,0,0,0,0.00,0.00,0.06,0.00,-1.56,-0.66,1.50,-0.00000,.00,1015.00,1015.00,1015.00
16736,0,0,0,0.00,0.00,-0.21,0.00,0.00,-0.90,0.31,0.00000,1015,1015.00,105.00,1015.00
17654,0,0,0,0.00,0.00,-0.06,0.00,-1.56,-0.79,1.19,-0.00000,1017,1017.5.00,1015.00,1015.00
18349,0,0,0,0.00,0.00,-0.09,0.00,-1.12,-0.79,1.37,-0.00000,1015,1015.00,1015.0000,1017.00
18812,0,0,0,0.00,0.00,-0.18,0.00,0.19,-0.87,-0.19,0.00000,1017,1015.00,1015.0,1017.00
19265,0,0,0,0.00,0.00,-0.02,0.00,-0.19,-0.72,0.31,0.00000,1017,1017.00,1017.00,5.00
19727,0,0,0,0.00,0.00,-0.07,0.00,-0.69,-0.77,0.81,0.00000,1017,1017.00,1017.00,1017.00
24368,0,0,0,0.00,0.00,-0.26,0.00,0.06,-0.96,-00000,1017,1017.00,1017.00,1017.00,1017.00
24824,0,0,0,0.00,0.00,-0.26,0.00,-0.19,-0.96,0.00,017,1017.00,1017.00,1017.00,1017.00
25489,0,0,0,0.00,0.00,-0.26,0.00,0.00,-0.96,0.00,0.00000,1017,105.00,1015.00,1015.00
25944,0,0,0,0.00,0.00,-0.26,0.00,0.06,-0.96,0.06,0.00000,1015,1017.00,015.00,1015.00
26850,0,0,0,0.00,0.00,-0.26,0.00,0.06,-0.96,-0.19,0.00000,1015,1015.00,1015.00,1015.00
31037,0,0,0,0.00,0.00,-0.26,0.00,-0.06,-0.96,0.19,017,1017.00,1017.00,1017.00,1017.00
31461,0,0,0,0.00,0.00,-0.26,0.00,0.13,-0.96,0.06,0.00000,10,1017.00,1017.00,1017.00
32150,0,0,0,0.00,0.00,-0.26,0.00,-0.19,-0.96,-0.06,0.00000,1015,1017.00,1015.00,1015.00
32620,0,0,0,0.00,0.00,-0.26,0.00,0.19,-0.96,-0.06,0.00000,1015,1015.00,1015.00,017.00
36103,0,0,0,0.00,0.00,-0.26,0.00,-06,0.13,0.00000,1017,1017.00,1017.00,1017.00,1017.00
36789,0,0,0,0.00,0.00,-0.26,0.00,0.00,-0.96,000,1015,1017.00,1017.00,1017.00,1017.00
37678,0,0,0,0.00,0.00,-0.26,0.00,0.06,-0.96,0.00,0.00000,1017,101.00,1015.00,1015.00
38137,0,0,0,0.00,0.00,-0.26,0.00,-0.19,-0.96,0.00,0.00000,1015,1015.00,10.00,1015.00
38583,0,0,0,0.00,0.00,-0.26,0.00,0.00,-0.96,0.19,0.00000,1017,1017.00,1017.00,10100
41855,0,0,0,0.00,0.00,-0.26,0.00,-0.19,-,0.00000,1015,1015.00,1015.00,1015.00,1015.00
42312,0,0,0,0.00,0.00,-0.26,0.00,0.06,-0.96,-0.06,1015,1015.00,1015.00,1015.00,1015.00
43197,0,0,0,0.00,0.00,-0.26,0.00,-0.06,-0.96,0.19,0.00000,10,1015.00,1015.00,1015.00
44349,0,0,0,0.00,0.00,-0.26,0.00,0.19,-0.96,-0.13,0.00000,1015,1017.00,1017.00,10175.00
