micros,flip,phase,spf_roll,roll_abs,roll,pitch,yaw,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
132,0,0,0.00,0.00,-0.56,4.47,-0.18,0.00,0.06,-1.18,-0.06,1017.00,1017.00,1017.00,1017.00
516,0,0,0.00,0.00,-0.69,4.46,-0.20,0.00,-0.62,-1.39,0.19,1017.00,1017.00,1017.00,1017.00
544,0,0,0.00,0.00,-0.68,4.46,-0.19,0.00,-0.75,-1.38,0.88,1017.00,1017.00,1017.00,1017.00
596,0,0,0.00,0.00,-0.70,4.46,-0.20,0.00,0.13,-1.39,0.06,1017.00,1017.0017.00,1017.00,1017.00
690,0,0,0.00,0.00,-0.69,4.46,-0.19,0.00,-0.06,-1.3-1.39,0.06,1017.00,1017.00,1017.00,1017.00
791,0,0,0.00,0.00,-0.67,4.464.46,-0.19,0.00,-0.69,-1.37,0.56,1017.00,1017.00,1017.00,1017.00
853,0,0,0.00,0.00,-0.66,4.46,-0.19,0.00,-0.13,-1.36,-0.06,1017.00,1017.00,1017.00,1017.00
1003,0,0,0.00,0.00,-0.63,4.46,-0.19,0.00,-0.44,-1.33,0.62,1017.017.00,1017.00,1017.00,1017.00
1211,0,0,0.00,0.00,-0.61,4.46,-0.20,0.00,-0.62,-1.32,0.37,1017.00,1017.00,1017.00,1017.00
1238,0,0,0.00,0.00,-0.60,4.46,-0.20,0.00,-0.44,-1.30,0.62,1017.00,1017.00,1017.00,1017.00
1375,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.19,-1.-1.28,0.19,1017.00,1017.00,1017.00,1017.00
1515,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.06,-1.28,-0.13,1017.00,1017.00,1017.00,1017.00
1574,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.37,-1.28,0.50,1017.00,1017.1017.00,1017.00,1017.00
1599,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.06,-1.28,-0.06,1017.00,1017.00,1017.00,10171017.00
1861,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.00,-1.28,0.06,1017.00,1017.00,1017.00,1017.00
1882,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.00,-1.28,0.13,1017.00,1017.00,1017.00,1017.00
1906,8,4.46,-0.20,0.00,0.06,-1.28,-0.06,1017.00,1017.00,1017.00,1016,1017.00,1017.00,1017.00,1017.00
2011,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.13,-1.28,-0.3-0.13,1017.00,1017.00,1017.00,1017.00
2152,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.13,-1.28,0.00,1017.00,1017.00,1017.00,1017.00
2262,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.13,-1.28,-0.13,1017.00,1017.00,1017.00,1017.00
2328,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.06,-1.28,0.19,1017.00,1017.1017.00,1017.00,1017.00
2532,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.00,-1.28,-0.31,1017.00,1017.00,1017.00,1017.00
2557,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.06,-1.28,-0.06,1017.00,1017.00,1017.00,1017.00
2871,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.25,-1.28,0.06,1017.00,1017.00,1017.00,1017.00
2894,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.19,-1.21,0.25,1017.00,1017.00,1017.00,1017.00
2917,-0.58,4.46,-0.20,0.00,-0.06,-1.28,0.06,1017.00,1017.00,1017.8,0.06,1017.00,1017.00,1017.00,1017.00
2951,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.19,-1.28,-0.13,1017.00,1017.017.00,1017.00,1017.00
3152,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.00,-1.28,0.19,1017.00,1017.00,1017.00,1017.00
3179,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.13,-1.28,0.06,1017.00,1017.00,1017.00,1017.00
3348,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.19,-1.28,-0.19,1017.017.00,1017.00,1017.00,1017.00
3587,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.13,-1.28,-0.06,1017.00,1017.00,1017.00,1017.00
3613,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.25,-1.28,0.25,1017.00,1017.00,1017.00,1017.00
3746,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.00,-1.28.28,0.00,1017.00,1017.00,1017.00,1017.00
3960,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.06,-1.28,-0.06,1017.00,1017.00,1017.00,1017.00
4071,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.00,-1.28,0.13,1017.00,1017.00,1017.00,1017.07.00
4111,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.19,-1.28,-0.06,1017.00,1017.00,1017.00,1017.00
4323,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.13.00,-1.28,0.13,1017.00,1017.00,1017.00,1017.00
4502,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.19,-1.28,0.31,1017.00,1017.00,1017.00,1017.001017.00
4528,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.19,-1.28,0.31,1017.00,1017.00,1017.00,1017.00
4571,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.31,-1.28,0.13,1017.00,1017.00,1017.00,1017.00
4625,0,0,.46,-0.20,0.00,-0.06,-1.28,0.13,1017.00,1017.00,1017.00,1017.0017.00,1017.00,1017.00,1017.00
4653,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.13,-1.28,-0.06,1017.00,1017.00,1017.017.00,1017.00
5108,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.13,-1.28,0.13,1017.00,1017.00,1017.00,1017.00
