micros,flip,phase,spf_roll,roll_abs,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
124,0,0,0.00,0.00,0.79,0.00,-7.87,0.37,-7.94,1020.00,1024.00,1024.00,1020.00
239,0,0,0.00,0.00,0.10,0.00,-0.50,-0.52,-2.19,1021.00,1023.00,1023.00,1021.00
388,0,0,0.00,0.00,1.04,0.00,8.44,0.25,8.25,1025.00,1019.00,1019.00,1025.00
471,0,0,0.00,0.00,1.73,0.00,5.00,1.06,5.56,1024.00,1020.00,1020.00,1024.00
561,0,0,0.00,0.00,1.74,0.00,-3.12,1.21,-2.56,1022.00,1022.00,1022.00,1022.00
711,0,0,0.00,0.00,0.75,0.00,-7.19,0.34,-7.50,1017.00,1021.00,1021.00,1017.00
739,0,0,0.00,0.00,0.42,0.00,-6.50,-0.02,-6.62,1020.00,1024.00,1024.00,1020.00
844,0,0,0.00,0.00,0.16,0.00,2.25,-0.45,1.81,1022.00,1022.00,1022.00,1022.00
938,0,0,0.00,0.00,0.76,0.00,7.63,0.06,7.56,1025.00,1019.00,1019.00,1025.00
1000,0,0,0.00,0.00,1.40,0.00,7.19,0.70.77,7.19,1025.00,1019.00,1019.00,1025.00
1048,0,0,0.00,0.00,1.68,0.00,3.94,1.05,5.06,1024.00,1020.00,1020.00,1024.00
1139,0,0,0.00,0.00,1.61,0.00,-3.31,1.09,-2.69,1022.00,1022.00,1022.00,1022.00
1274,0,0,0.00,0.00,0.36,0.00,-5.06,-0.10,-6.37,1017.00,1021.00,1021.00,1017.00
1341,0,0,0.00,0.00,0.16,0.00,0.06,-0.40-0.40,0.06,1022.00,1022.00,1022.00,1022.00
1389,0,0,0.00,0.00,0.28,0.00,3.44,-0.34,2.44,1022.00,1022.00,1022.00,1022.00
1483,0,0,0.00,0.00,0.95,0.00,7.56,0.31,7.56,1025.00,1019.00,1019.00,1025.00
1530,0,0,0.000.00,0.00,1.48,0.00,6.37,0.81,7.12,1025.00,1019.00,1019.00,1025.00
1601,0,0,0.00,0.00,1.76,0.00,2.06,1.19,2.81,1023.00,1021.00,1021.00,1023.00
1724,0,0,0.00,0.00,1.32,0.00,-5.75,0.81,-5.12,1021.00,1023.00,1023.00,1021.00
1985,0,0,0.00,0.00,0.48,0.00,5.69,-0.14,5.25,1023.00,1021.00,1021.00,1023.00
2067,0,0,0.00,0.00,1.23,0.00,6.75,0.55,7.25,1022.00,1016.00,1016.00,1022.00
