micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
137,0,0,0.00,0.00,-0.16,0.00,0.00,-0.65,0.13,1017.00,1017.00,1017.00,1017.00
251,0,0,0.00,0.00,-0.16,0.00,0.06,-0.72,-0.13,1017.00,1017.00,1017.00,100
269,0,0,0.00,0.00,-0.16,0.00,0.00,-0.72,-0.06,1017.00,1017.00,1017.00,1017.00
342,0,0,0.00,0.00,-0.16,0.00,0.06,-0.72,0.06,1019.00019.00,1019.00,1019.00,1019.00
478,0,0,0.00,0.00,-0.16,0.00,0.06,-0.72,0.00,1017.00,1017.00,1017.00,1017.00
541,0,0,0.00,0.00,-0.16,0.00,-0.25,2,-0.25,1017.00,1017.00,1017.00,1017.00
577,0,0,0.00,0.00,-0.16,0.00,-0.06,-0.72,0.19,1019.00,1019.00,1019.00,1019.00
703,0,0,0.00,0.00,-0.16,0.00,0.19,-0.72,-0.06,1017.00,1017.00,1017.00,1017.00
781,0,0,0.00,0.00,-0.16,0.00,0.13,-0.72,0.19,1017.00,1017.00,1017.00,1017.00
802,0,0,0.00,0.00,-0.16,0.00,0.13,-0.72,0.13,1017.00,1017.00,1017.00,1017.00
901,0,0,0.00,0.00,-0.16,0.00,0.00,-0.65,0.00,1017.00,1017.00,1017.00,1017.00
1006,0,0,0.00,0.00,-0.16,0.00,-0.13,-0.65,-0.13,1019.00,1019.00,1019.00,1019.00
1088,0,0,0.00,0.00,-0.16,0.00,-0.06,-0.72,0.00,1017.00,1010,1017.00,1017.00
1111,0,0,0.00,0.00,-0.16,0.00,-0.13,-0.72,-0.13,1017.00,1017.00,1017.00,1017.00
1240,0,0,0.00,0.00,-0.16,0.00,-0.13,-0.65,0.06,1017.00,1017.00,1017.00,.00
1259,0,0,0.00,0.00,-0.16,0.00,0.19,-0.65,0.13,1017.00,1017.00,1017.00,1017.00
1339,0,0,0.00,0.00,-0.16,0.00,0.00,-0.65,0.06,1017.01017.00,1017.00,1017.00,1017.00
1416,0,0,0,0.00,-0.16,0.00,-0.13,-0.65,-0.13,1017.00,1017.00,1017.00,1017.00
1508,0,0,0.00,0.00,-0.16,0.00,0.06,-0.65,-0.06,1017.00,1017.00,1017.00,1017.00
1590,0,0,0.00,0.00,-0.16,0.00,0.06,-0.65,0.00,1017.00,1017.00,1017.00,1017.00
1626,0,0,0.00,0.00,-0.16,0.00,0.25,-0.65,0.06,1017.00,1017.00,1017.00,1017.00
1677,0,0,0.00,0.00,-0.16,0.00,0.00,-0.65,0.37,1017.00,10,1017.00,1017.00
1694,0,0,0.00,0.00,-0.16,0.00,0.06,-0.65,0.19,1017.00,1017.00,1017.00,1017.00
