micros,flip,phase,spf_roll,roll_rlv,roll_absroll,spf_r_rate,gxrs,m1,m2,m3,m4
502,0,0,0,0.00,0.00,0.00,-1.5-4.94,1011.00,1018.00,1027.00,1020.00
1337,0,0,0,0.00,0.00,0.00,-0.48,-5.37,1010.00,10,1018.00
1573,0,0,0,0.00,0.00,0.00,-1..19,1015.00,1011.00,1019.00,1023.00
1626,0,0,0,0.00,0.00,0.00,-0.90,7.06,1015.01010.00,1018.00,1024.00
1823,0,0,0,0.00,0.00,0.00,-0.53,-5.50,1010.00,1016.00,1
2486,0,0,000,0.00,0.00,-1.31,4.31,1014.00,1012.00,1020.00,1022.00
2539,0,0,0,0.00,0.00,0.0-0.88,5.75,1015.00,1011.00,1019.00,1023.00
2642,0,0,0,0.00,0.00,0.00,-02.37,1014.00,1012.00,1020.00,1022.00
3473,0,0,0.00,0.00,0.00,-0.97,4.56,1014.00,1011.00,1020.00,1023.00
3569,0,0,0,0..00,0.00,-0.36,2.81,1014.00,1012.00,1020.00,1023.00
3882,0,0,0,0.00,0.00,0.00.25,1.75,1012.00,1013.00,1021.00,1021.00
4990,1,0,.00,0.00,0.00,-0.88,-2.75,1104.00,1107.00,1116.00,1113.00
5095,1,0,0,0.00,0.00,0.00,-1.13,-2.06,11,1186.00,1183.00
5317,1,0,0,0.00,0.00,0.00,-0.75,3.56,1215.00,1212.00,0
6006,1,0,0,0.00,0.00,0.00,-0.85,2.12,1217.00,1217.1226.00,1227.00
7815,1,0,0,0.0.00,0.00,-0.79,1.56,1247.00,1247.00,1256.00,1257.00
7851,1,0,0,0.00,0.00,0.00,-0.79,0.62,1,1257.00,1257.00
7978,1,0,0,0.00.00,0.00,-0.80,0.06,1296.00,1297.00,1306.00,1305.00
8427,1,0,0,0.00,0.00,0.00,-0.48,-0.56,1362.1363.00,1372.00,1371.00
8966,1,0,0,0.0000,0.00,0.02,-0.31,1370.00,1371.00,1380.00,1380.00
9125,1,0,0,0.000,0.00,-0.09,0.94,1375.00,1375.00,1383.00,1383.00
9578,1,0,0,0.00,0.00,0.00,0.45,-0.13,1450.00,1450.00,1458.0458.00
9885,1,0,0,0.00,0.000,0.41,1.37,1478.00,1476.00,1484.00,1487.00
10043,1,0,0,0.00,0.00,0.00,0.62,4.51.00,1476.00,1485.00,1490.00
10113,1,0,0,0.00,0.00,0.00,0.66,0.25,1479.00,1479.007.00,1489.00
10505,1,0,0,0.00,0.00,0.70,4.00,1504.00,1501.00,1510.00,1513.00
10572,1,0,0,0.00,0.00,0.00,0.89.00,1506.00,1506.00,1514.00,1514.00
10607,1,0,0,0.00,0.00,0.00,0.80,-2.44,1504.00,1506.00,15
11314,1,0,0,0.00,0.00,0.56,0.69,1563.00,1562.00,1571.00,1572.00
11377,1,0,0,0.00,0.00,0.00,0.40,-5.1569.00,1573.00,1583.00,1580.00
11750,1,0,0,0.00,0.00,0.92,0.06,1588.00,1583.00,1592.00,1597.00
11955,1,0,0,0.00,0.00,0.00,0.60,1.06,1598600.00,1608.00,1612.00
12109,1,0,0,0.00,0.00,0.00,0.57,4.69,1608.00,1604.00.00,1619.00
12579,1,0,0,0.00,0.00,0.00,0.95,3623.00,1618.00,1627.00,1632.00
12643,1,0,0,0.00,0.00,0.00,1.12,1.00,1622.00,1620.002.00,1633.00
13333,1,0,0,0.00,0.00,0.00,1.16,-2.12,1633.00,1633.0045.00,1644.00
13486,1,0,0,0.00,0.00,0.00,0.97,-2.81,1637.00,1637.00,1645.644.00
14285,0,0,0.00,0.00,0.00,1.05,-0.88,1646.00,1646.00,1656.00,1656.00
14490,1,0,0,0.00,0.00,0.00,1.10,1647.00,1642.00,1652.00,1655.00
14652,1,1,1,0.87,-0.05,-0.05,0.98,0.62577.00,1710.00,1720.00,1588.00
14905,1,1,2,90.96,27.30,27.30,42.51,418.31,1479.00,.00,1469.00
15014,1,1,2,161.57,62.92,62.92,94.28,434.62,1417.00,1800,1399.00
15143,1,1,2,235.40,99.75,99.75,144.55,549.44,14827.00,1813.00,1470.00
15265,1,1,3,299.86,156.02,-110.60,969.37,1851.00,1468.00,1448.00,1830.00
15456,1,1,3,349.68,2726.93,37.04,327.25,1905.00,1400.00,1396.00,1902.00
15678,1,1,0,0.00,0.00,276.93,-16.31,1533.00,1766.00,1766.00,1539.00
16479,1,1,0,0.00,0.00,276.93,3.82,24.19,1668.00,1618.00,1633
16858,1,1,0,0.00,0.00,276.93,0.57,-40.44,1626.00,00,1639.00
17062,1,1,0,0.00,0.00,276.93,-2.65,1,1639.00,1649.00,1657.00
17335,1,1,0,0.00,0.00,276.93,-0.60,-20.87,1638.00,165,1645.00
17647,1,0,0.00,0.00,276.93,-1.44,-4.50,1645.00,1650.00,1658.00,1651.00
17754,1,1,0,0.00,0.00,8,8.00,1651.00,1640.00,1652.00,1660.00
18205,1,1,0,0.00,0.00,276.93,-0.61,-1.19,1643.00,1640,1649.00
18347,1,0,0.00,0.00,276.93,-0.92,-2.81,1640.00,1641.00,1652.00,1651.00
19714,1,1,0,0.00,0.00276.93,-0.86,-1.87,1011.00,1013.00,1023.00,1020.00
19730,1,1,0,0.00,0.00,276.93,-0.94,-3.12,1011.00,1014.00,102
19819,1,1,0,0.00,0.00,276.93,-1.38,-0,1017.00,1025.00,1017.00
20074,0,0,0,0.00,0.00,276.93,-1.94,4.62,1013.00,1012.00,1
20163,0,0,0,0.00,0.00,276.93,-1.48,7.69,1015.00010.00,1019.00,1024.00
20403,0,0,0,0.00,0.00,276.93-0.99,-3.56,1010.00,1015.00,1024.00,1019.00
20518,0,0,0,0.00,0.00,276.93,-1.50,-5.50,1000,1025.00,1018.00
21197,1,0,0,0.00,0.00,276.93,-1.57,-4.37,1009.00,1000,1018.00
21338,0,0,0.00,0.00,276.93,-1.89,0.88,1012.00,1013.00,1023.00,1020.00
23041,1,0,0,0.00,0.00,276.93,-0.08,-1.00,1513.00,151,1523.00
23854,1,0,0,0.00,0.006.93,0.14,1.50,1536.00,1535.00,1544.00,1545.00
24195,1,0,0,0.00,0.00,276.93,0.09,0.31,15,1553.00,1553.00
24333,1,0,0,0.00,0.00,276.93,0.00,2.31,1,1559.00,1560.00
26414,1,1,1,48.44,6.72,283.65,12.95,199.94,1332.00,170,1322.00
26500,1,1,2,9.01,304.95,45.70,396.12,1350.00,1763.00,1760.00,1343.00
26524,1,1,2,109.39,31.97,308.91,49.83,426.25,1344.00,17.00,1344.00
26635,1,1,2,183.08,65.65,342.58,98.46,409.62,836.00,1836.00,1271.00
26774,1,1,2,256.09,101.70,378.6,596.12,1395.00,1724.00,1712.00,1381.00
26799,1,1,3,272.65,113.13,390.07,165.37,623.31,1439.00,1682.,1508.00
26959,1,1,3,338.31,207.84.86,-39.14,978.62,1987.00,1148.00,1123.00,1958.00
26980,1,1,3,344.23,227.72,504.65,-21.43,893.81,1991.00,1134.00,1952.00
27093,1,1,0,0.00,0.00,536.74,40.31,222.37,1727.00,1,1685.00
27194,1,1,0,0.00,0.,20.43,-453.00,1342.00,1728.00,1768.00,1378.00
27414,1,1,0,0.00,0.00,536.74,-19,1633.00,1475.00,1473.00,1636.00
27530,1,1,0,0.00,0.00,536.74,5.74,110.56,1627.00,1478.00500.00,1610.00
27676,1,1,0,0.00,0.00,536.74,2.53,-153.69,10,1629.00,1482.00
28335,1,1,0,0.00,0.00,536.74,-3.99,17.25,.00,1554.00,1565.00
28788,1,1,0,0.00,0.00,536.74,-1.48,1.00,1547.00,1553.00,156
28916,1,1,0,0.00,0.0036.74,-0.89,12.06,1553.00,1546.00,1555.00,1561.00
29615,1,1,0,0.00,0.00536.74,-0.80,-1.25,1547.00,1552.00,1561.00,1556.00
29721,1,1,0,0.00,0.00,536.74,-0.68,0.50,1.00,1559.00,1558.00
29863,1,1,0,0.00,0.00,536.74,-0.60,-2.56,0,1560.00,1557.00
30401,0,0,0,0.00,0.00,536.74,-2.01,0.62,.00,1021.00,1019.00
31907,0,0,0,0.00.00,536.74,-0.99,6.19,1012.00,1007.00,1016.00,1020.00
31923,0,0,0,0.00,0.00,536.74,-0.87,6.25,1012.00,1007.00,1
34315,1,0,0,0.00,0.00,536.74,-0.29,-1.50,1522.00,1500,1530.00
35121,1,0,0,0.00,0.00,536.74,0.16,-2.37,1566.00,1568.00577.00,1574.00
35923,1,0,0,0.00,0.00,536.74,0.16,-0.06,158,1588.00,1588.00
