micros,flip,phase,spf_roll,roll_rlv,roll_abs,roll,spf_r_rate,gxrs,m1,m2,m3,m4
58,0,0,0,0.00,0.00,0.00,-0.72,-0.50,1025.00,1026.00,1035.00,1034.00
92,0,0,0,0.00,0.00,0.00,-0.72,0.13,1025.00,1026.00,1035.00,1034.00
136,0,0,0,0.00,0.00,0.00,-0.66,1.06,1026.00,1027.00,1036.00,1036.00
185,0,0,0,0.00,0.00,0.00,-0.56,1.50,1026.00,1025.00,1034.00,1035.00
313,0,0,0,0.00,0.00,0.00,-0.42,0.31,1026.00,1026.00,1036.00,1036.00
363,0,0,0,0.00,0.00,0.00,-0.42,-0.50,1025.00,1026.00,1035.00,1034.00
468,0,0,0,0.00,0.00,0.00,-0.45,-0.06,.00,1026.00,1035.00,1034.00
540,0,0,0,0.00,0.00,0.00,-0.45,0.50,1025.00,1026.00,1035.00,1034.00
577,0,0,0,0.00,0.00,0.00,-0.39,1.06,1025.00,1025.00,1035.00,1035.00
611,0,0,0,0.00,0.00,0.00,-0.36,0.94,1026.00,1025.00,1034.00,1035.00
666,0,0,0,0.00,0.00,0.00,-0.29,0.62,1026.00,1025.00,1035.00,1035.00
790,0,0,0,0.00,0.00,0.00,-0.28,-0.13,1025.00,1026.00,1035.00,1034.00
817,0,0,0,0.00,0.00,0.00,-0.28,-0.13,1025.00,1026.00,1035.00,1034.00
859,0,0,0,0.00,0.00,0.00,-0.28,0.13,1025.00,1026.00,1035.00,1034.00
885,0,0,0,0.00,0.00,0.00,-0.28,0.37,1025.00,1026.00,100,1034.00
901,0,0,0,0.00,0.00,0.00,-0.28,0.56,1025.00,1025.00,1035.00,1035.00
975,0,0,0,0.00,0.00,0.00,-0.24,0.50,1025.00,1025.00,1035.00,1035.00
1019,0,0,0,0.00,0.00,0.00,-0.22,0.56,1025.00,1025.00,1035.00,1035.00
1063,0,0,0,0.00,0.00,0.00,-0.22,0.19,1025.00,1026.00,1035.00,1034.00
1139,0,0,0,0.00,0.00,0.00,-0.22,-0.31,1025.00,1026.00,1035.00,1034.00
1236,0,0,0,0.00,0.00,0.00,-0.22,-0.19,1025.00,1026.00,1035.00,1034.00
1274,0,0,0,0.00,0.00,0.00,-0.22,0.25,1025.00,1026.00,1035.00,1034.00
1368,0,0,0,0.00,0.00,0.00,-0.22,-0.19,1025.00,1026.00,1035.00,1034.00
1447,0,0,0,0.00,0.00,0.00,-0.22,-0.31,1025.00,1026.00,1035.00,1034.00
1465,0,0,0,0.00,00,0.00,-0.22,-0.19,1025.00,1026.00,1035.00,1034.00
1502,0,0,0,0.00,0.00,0.00,-0.22,-0.25,1025.00,1026.00,1035.00,1034.00
1608,0,0,0,0.00,0.00,0.00,-0.22,-0.19,15.00,1026.00,1035.00,1034.00
1671,0,0,0,0.00,0.00,0.00,-0.22,-0.25,1025.00,1026.00,1035.00,1034.00
1700,0,0,0,0.00,0.00,0.00,-0.22,0.13,1025.00,10,1035.00,1035.00
1720,0,0,0,0.00,0.00,0.00,-0.22,0.06,1025.00,1026.00,1035.00,1034.00
1750,0,0,0,0.00,0.00,0.00,-0.22,0.00,1025.00,1025.00,1035.00,1035.
1768,0,0,0,0.00,0.00,0.00,-0.22,0.00,1025.00,1025.00,1035.00,1035.00
1915,0,0,0,0.00,0.00,0.00,-0.22,-0.13,1025.00,1026.00,1035.00,1034.00
1959,0,0,0,0.00,0.00,0.00,-0.22,-0.13,1025.00,1026.00,1035.00,1034.00
2097,0,0,0,0.00,0.00,0.00,-0.22,-0.31,1025.00,1026.00,1035.00,1034.00
2134,0,0,0,0.00,0.00,0.00,-0.22,-0.19,1025.00,1026.00,1035.00,1034.00
2182,0,0,0,0.00,0.00,0.00,-0.22,-0.13,1025.00,1026.00,1035.00,1034.00
2219,0,0,0,0.00,0.00,0.00,-0.22,-0.19,1025.00,1026.00,1035.00,1034.00
2292,0,0,0,0.00,0.00,0.00,-0.22,0.13,1025.00,1026.00,1035.00,1034.00
2342,0,0,0,0.00,0.00,0.00,-0.22,0.06,1025.00,1026.00,1035.00,1035.00
2386,0,0,0,0.00,0.00,0.00,-0.22,-0.06,1025.00,1026.00,1035.00,1034.00
2440,0,0,0,0.00,0.00,0.00,-0.22,-0.06,1025.00,1025.00,1035.00,1035.00
2474,0,0,0,0.00,0.00,0.00,-0.22,0.00,1025.00,1025.00,035.00,1034.00
2493,0,0,0,0.00,0.00,0.00,-0.22,-0.06,1025.00,1026.00,1035.00,1034.00
2561,0,0,0,0.00,0.00,0.00,-0.22,-0.31,1025.00,1026.00,1000,1034.00
2581,0,0,0,0.00,0.00,0.00,-0.22,0.00,1025.00,1026.00,1035.00,1034.00
2620,0,0,0,0.00,0.00,0.00,-0.22,-0.19,1025.00,1026.00,1035.00,1034.0
2639,0,0,0,0.00,0.00,0.00,-0.22,-0.13,1025.00,1026.00,1035.00,1034.00
2752,0,0,0,0.00,0.00,0.00,-0.22,0.00,1025.00,1026.00,1035.00,1034.00
2789,0,0,0,0.00,0.00,0.00,-0.22,0.00,1025.00,1026.00,1035.00,1034.00
2812,0,0,0,0.00,0.00,0.00,-0.22,0.06,1025.00,1025.00,1035.00,1035.00
2849,0,0,0,0.00,0.00,0.00,-0.22,-0.44,1025.00,1026.00,1035.00,1034.00
2942,0,0,0,0.00,0.00,0.00,-0.22,0.00,1025.00,1026.00,1035.00,1034.00
2993,0,0,0,0.00,0.00,0.00,-0.22,0.00,1025.00,1026.00,1035.00,1034.00
3087,0,0,0,0.00,0.00,0.00,-022,0.00,1025.00,1026.00,1035.00,1034.00
3132,0,0,0,0.00,0.00,0.00,-0.22,0.06,1025.00,1025.00,1035.00,1035.00
3169,0,0,0,0.00,0.00,0.00,-0.22,-0.25,1025.00,1026.00,1035.00,1034.00
3237,0,0,0,0.00,0.00,0.00,-0.22,0.06,10250,1026.00,1035.00,1034.00
3302,0,0,0,0.00,0.00,0.00,-0.22,-0.19,1025.00,1026.00,1035.00,1034.00
3348,0,0,0,0.00,0.00,0.00,-0.22,-0.13,1025.00,1026.00,1035.00,1034.00
3378,0,0,0,0.00,0.00,0.00,-0.22,0.13,1025.00,102600,1035.00,1034.00
3399,0,0,0,0.00,0.00,0.00,-0.22,0.00,1025.00,1026.00,1035.00,1034.00
3450,0,0,0,0.00,0.00,0.00,-0.22,0.06,1025.00,1026.00,1035.00,1034.00
3532,0,0,0,0.00,0.00,0.00,-0.22,0.13,1025.00,1026.00,1035.00,1034.00
3571,0,0,0,0.00,0.00,0.00,-0.22,-0.13,1025.00,1026.00,1035.00,1035.00
3606,0,0,0,0.00,0.00,0.00,-0.22,-0.37,1025.00,1026.00,1035.00,1034.00
3665,0,0,0,0.00,0.00,0.00,-0.22,-0.06,1025.00,1026.00,1035.00,1034.00
3763,0,0,0,0.00,0.00,0.00,-0.22,0.06,1025.00,1025.00,1035.00,1035.00
3806,0,0,0,0.00,0.00,0.00,-0.22,-0.13,1025.00,1026.00,1035.00,1034.00
3840,0,0,0,0.00,0.00,0.00,-0.22,-0.13,1025.00,1026.00,1035.00,1034.00
3978,0,0,0,0.00,0.00,0.00,-0.22,0.00,1025.00,1026.00,1035.00,1035.00
4024,0,0,0,0.00,0.00,0.00,-0.22,-0.19,1025.00,1025.00,1035.00,1035.00
4112,1,0,0,0.00,0.00,0.00,-0.22,0.06,1025.00,1025.00,1035.00,1034.00
4257,1,0,0,0.00,0.00,0.00,-0.22,-0.13,1025.00,1026.00,1035.00,1034.00
4343,1,0,0,0.00,0.00,0.00,-0.22,-0.06,1025.00,1025.00,1035.00,1034.00
4484,1,0,0,0.00,0.00,0.00,-0.25,-0.25,1025.00,1026.00,1035.00,1034.00
4507,1,0,0,0.00,0.00,0.00,-0.26,0.06,1025.00,1026.00,1035.00,1035.00
4565,1,0,0,0.00,0.00,0.00,-0.27,0.06,1025.00,1025.00,1035.00,1035.00
4661,1,0,0,0,0.00,0.00,-0.29,-0.13,1025.00,1025.00,1035.00,1035.00
4708,1,0,0,0.00,0.00,0.00,-0.30,0.13,1025.00,1026.00,1035.00,1034.00
4730,1,0,0,0.00,0.00,0.,-0.30,0.06,1025.00,1025.00,1035.00,1035.00
4782,1,0,0,0.00,0.00,0.00,-0.31,-0.13,1025.00,1026.00,1035.00,1034.00
4895,1,0,0,0.00,0.00,00,-0.33,-0.06,1061.00,1062.00,1071.00,1070.00
4957,1,0,0,0.00,0.00,0.00,-0.35,07,1111.00,1111.00,1121.00,1121.00
5065,1,0,0,0.00,0.00,0.00,-0.34,0.44,1158.00,1157.00,1167.00,1167.00
5140,1,0,0,0.00,0.00,0.00,-0.27,1.19,1195.00,1194.00,1203.00,1204.00
5220,1,0,0,0.00,0.00,0.00,-0.16,1.56,1231.00,1230.00,1239.00,1240.00
5276,1,0,0,0.00,0.00,0.00,-0.09,1.00,1255.00,1255.00,1265.00,1265.00
5345,1,0,0,0.00,0.00,0.00,-0.04,0.06,1271.00,1270.00,128,1281.00
5363,1,0,0,0.00,0.00,0.00,-0.01,1.00,1282.00,1281.00,1290.00,1291.00
5585,1,0,0,0.00,0.00,0.00,-0.18,-0.25,1329.00,1329.00,1339.00,1339.00
5638,1,0,0,0.00,0.00,0.00,-0.18,-0.19,1340.00,1339.00,1349.00,1348.00
5672,1,0,0,0.00,0.00,0.00,-0.20,-0.94,1351.00,1352.00,1359.00,1358.00
5709,1,0,0,0.00,0.00,0.00,-0.20,0.00,1361.00,1362.00,1373.00,1372.00
5829,1,0,0,0.00,0.00,0.00,0.16,4.62,1380.00,1376.00,1386.00,1390.00
5865,1,0,0,0.00,0.00,0.00,0.24,1.75,1390.00,1387.00,1396.00,1399.00
5937,1,0,0,0.00,0.00,0.00,0.12,-2.87,1399.00,1402.00,1411.00,1408.00
6112,1,0,0,0.00,0.00,0.00,0.00,-1.62,1449.00,1451.00,1461.00,1459.00
6202,1,0,0,0.00,0.00,0.00,0.11,4.44,1454.00,1452.00,1460.00,1462.00
6257,1,0,0,0.00,0.00,0.00,0.29,2.87,1457.00,14,1465.00,1468.00
6279,1,0,0,0.00,0.00,0.00,0.34,0.06,1459.00,1456.00,1465.00,1468.00
6327,1,0,0,0.00,0.00,0.00,0.22,-4.12,1467.00,1469.00,1477.00,1400
6364,1,0,0,0.00,0.00,0.00,-0.02,-7.19,1466.00,1472.00,1480.00,1474.00
6518,1,0,0,0.00,0.00,0.00,-0.13,1.62,1487.00,1486.00,1495.00,1497.00
6564,1,0,0,0.00,0.00,0.00,-0.04,2.56,1490.00,1488.00,1496.00,1499.00
6585,1,0,0,0.00,0.00,0.00,0.06,2.00,1493.00,1491.00,1499.00,1501.00
6640,1,0,0,0.00,0.00,0.00,0.10,0.75,1494.00,1493.00,1502.00,1503.00
6898,1,0,0,0.00,0.00,0.00,0.43,2.00,1505.00,1503.00,1511.00,1514.00
6984,1,0,0,0.00,0.00,0.00,0.59,2.06,1507.00,1504.00,1513.00,1516.00
7100,1,0,0,0.00,0.00,0.00,0.72,1.25,1506.00,1504.00,1513.00,1516.00
7219,1,0,0,0.00,0.00,0.00,0.75,1.44,1518.00,1517.00,1526.00,1527.00
7308,1,0,0,0.00,0.00,0.00,0.93,0.69,1524.00,1521.00,1530.00,1533.00
7355,1,0,0,0.00,0.00,0.00,0.92,-0.44,1523.00,1522.00,1531.00,1532.00
7417,1,0,0,0.00,0.00,0.00,0.87,-0.44,8.00,1527.00,1536.00,1537.00
7437,1,0,0,0.00,0.00,0.00,0.87,0.31,1528.00,1528.00,1536.00,1536.00
7485,1,0,0,0.00,0.00,0.00,0.94,1.56,1530.00,1528.00,150,1540.00
7525,1,0,0,0.00,0.00,0.00,1.01,2.56,1532.00,1528.00,1538.00,1542.00
7705,1,0,0,0.00,0.00,0.00,1.17,0.81,1538.00,1536.00,1546.00,1548.00
7776,1,0,0,0.00,0.00,0.00,1.10,-2.75,1538.00,1538.00,1546.00,1546.00
7952,1,0,0,0.00,0.00,0.00,0.47,-16,1540.00,1541.00,1550.00,1550.00
8049,1,0,0,0.00,0.00,0.00,0.39,-0.81,1542.00,1543.00,1552.00,1552.00
8102,1,0,0,0.00,0.00,0.00,0.43,2.94,1545.00,1543.001543.00,1552.00,1555.00
8122,1,0,0,0.00,0.00,0.00,0.50,3.19,1547.00,1544.00,1551.00,1554.00
8209,1,0,0,0.00,0.00,0.00,0.57,-3.06,1546.00,1547.00,1556.00,1555.00
8336,1,0,0,0.00,0.00,0.00,0.07,-5.50,1545.00,1550.00,1559.00,15500
8359,1,0,0,0.00,0.00,0.00,-0.12,-6.56,1543.00,1550.00,1558.00,1553.00
8405,1,0,0,0.00,0.00,0.00,-0.38,-5.69,1543.00,1550.00,1559.00,1552.00
8441,1,0,0,0.00,0.00,0.00,-0.49,-0.94,1544.00,1549.00,1558.00,1553.00
8485,1,0,0,0.00,0.00,0.00,-0.42,3.75,1547.00,1547.00,1557.00,1557.00
8623,1,0,0,0.00,0.00,0.00,0.22,4.69,1549.00,1544.00,1553.00,1558.00
8703,1,0,0,0.00,0.00,0.00,0.60,2.44,1548.00,1545.00,1554.00,1557.00
8801,1,0,0,0.00,0.00,0.00,8,-0.62,1546.00,1547.00,1556.00,1555.00
8931,1,1,1,5.55,-0.17,-0.17,0.21,-0.62,1431.00,1661.00,1671.00,1441.00
8967,1,1,1,14.15,0.03,0.03,0.77,27.37,1374.00,1720.00,1730.00,1384.00
9161,1,1,2,98.93,28.39,28.39,41.98,389.00,1346.00,1762.00,1763.00,1337.00
9255,1,1,2,152.20,53.16,53.16,78.24,421.44,1310.2.00,1811.00,1804.00,1291.00
9279,1,1,2,170.75,61.55,61.55,90.24,411.81,1294.00,1821.00,1812.00,1281.00
9502,1,1,3,292.25,133.66141.33,141.33,-150.18,836.81,1610.00,1512.00,1495.00,1590.00
9634,1,1,3,340.31,218.17,218.17,-36.77,963.69,1982.00,1126.00,1128.00,1972.00
9733,1,1,0,0.00,0.00,266.07,36.55,265.81,1785.00,1324.00,1327.00,1773.00
9845,1,1,0,0.00,0.00,266.07,15.13,-466.12,1343.00,1725.00,1758.00,1382.00
9945,1,1,0,0.00,0.00,266.07,-16.93,-252.12,1396.00,1691.00,1708.00,1413429.00
9970,1,1,0,0.00,0.00,266.07,-20.21,-155.31,1442.00,1639.00,1663.00,1464.00
10029,1,1,0,0.00,0.00,266.07,-23.83,-44.13,1490.00,1593.01546.00,1552.00,1558.00
10233,1,1,0,0.00,0.00,266.07,8.74,18.69,1565.00,1521.00,1539.00,1578.00
10255,1,1,0,0.00,0.00,266.07,7.76,-50.06,1531.00,1555.00,1570.00,1548.00
10309,1,1,0,0.00,0.00,266.07,4.17,-122.25,1506.00,1597.00,1598.00,1507.00
10414,1,1,0,0.00,0.00,266.07,-7.56,-80.37,1478.00,1680.00,1610.00,1521.00
10439,1,1,0,0.00,0.00,266.07,-8.41,-31.56,1509.00,1568.00,1597.00,1534.00
10584,1,1,0,0.00,0.00,266.07,-1.92,99.12,1578.00,1505.00,1526.00,1598.00
10769,1,1,0,0.00,0.00,266.07,1.23,-42.69,1531.00,1559.00,1573.00,1544.00
10863,1,1,0,0.00,0.00,266.07,-3.88,-67.56,1511.00,1582.00,1594.00,15523.00
10884,1,1,0,0.00,0.00,266.07,-5.28,-41.81,1512.00,1576.00,1593.00,1527.00
10967,1,1,0,0.00,0.00,266.07,-5.12,8.31,1547.00,1546.00,1557.00,1558.00
11029,1,1,0,0.00,0.00,266.07,-3.89,36.13,1559.00,1538.00,1545.00,1566.00
11116,1,1,0,0.00,0.00,266.07,-0.58,28.44,1566.00,1533.00,1539.00,1570.00
11172,1,1,0,0.00,0.00,266.07,-0.14,2.2.37,1548.00,1546.00,1557.00,1558.00
11221,1,1,0,0.00,0.00,266.07,0.13,2.31,1552.00,1546.00,1552.00,1558.00
11345,1,1,0,0.00,0.00,266.07,-2.22,-19.69,1531.00,1558.00,1571.00,1544.00
11390,1,1,0,0.00,0.00,266.07,-2.38,-2.37,1543.00,1549.00,1559.00,1552.00
11562,1,1,0,0.00,0.00,266.07,-1.66,22.94,1557.00,153500,1548.00,1566.00
11585,1,1,0,0.00,0.00,266.07,-1.25,9.00,1553.00,1537.00,1549.00,1564.00
11632,1,1,0,0.00,0.00,266.07,-1.20,-1.81,1545.00,1547.06.00,1558.00,1555.00
11736,1,1,0,0.00,0.00,266.07,-0.98,-10.25,1545.00,1551.00,1560.00,1552.00
