Roll,SP_Roll,Pitch,SP_Pitch,Yaw,SP_Yaw,Roll_rate,Pitch_rate,Yaw_rate,m1,m2,m3,m4
0.14,1.81,-0.07,0.44,0.05,2.75,-0.19,-0.06,0.06,1017.0,1029.0,1020.0,1027.0
0.14,1.81,-0.07,0.44,-0.1,2.75,-0.13,-0.13,-0.06,1016.0,1029.0,1020.0,1027.0
0.14,1.81,-0.07,0.44,0.05,2.75,0.06,-0.06,0.0,1017.0,1028.0,1020.0,1026.0
0.14,1.81,-0.07,0.44,-0.1,2.75,-0.06,0.0,0.06,1017.0,1029.0,1020.0,1027.0
0.14,1.81,-0.07,0.44,-0.1,2.75,0.0,-0.13,0.06,1018.0,1030.0,1021.0,1028.0
0.14,1.81,-0.07,0.44,0.05,2.75,0.06,0.06,-0.06,1017.0,1028.0,1020.0,1027.0
0.14,1.81,-0.07,0.44,0.05,2.74,-0.75,-0.94,3.44,1107.0,1114.0,1110.0,1113.0
0.14,1.87,-0.07,0.44,0.05,2.74,-0.06,-0.31,2.0,1141.0,1153.0,1143.0,1151.0
0.14,1.87,0.14,0.44,0.05,2.74,-0.37,-0.25,1.19,1158.0,1170.0,1161.0,1167.0
0.14,1.87,0.14,0.44,0.05,2.74,-2.5,-0.37,0.69,1171.0,1183.0,1173.0,1181.0
0.14,1.87,0.14,0.44,0.05,2.74,-0.06,0.56,0.13,1225.0,1237.0,1227.0,1235.0
0.14,1.87,-0.63,0.37,0.05,2.74,2.62,0.94,0.0,1274.0,1287.0,1278.0,1285.0
0.14,2.12,-0.07,0.5,0.05,2.75,-3.0,-3.81,0.25,1293.0,1307.0,1299.0,1304.0
0.14,2.25,-0.07,0.56,0.05,2.75,-2.06,-0.25,0.31,1295.0,1309.0,1301.0,1307.0
0.14,2.31,-0.07,0.62,0.05,2.75,1.62,0.94,-0.62,1322.0,1335.0,1328.0,1335.0
0.14,2.37,-0.07,0.69,-0.1,2.75,-4.75,-0.62,-0.62,1322.0,1335.0,1327.0,1336.0
0.14,2.56,-0.07,0.88,-0.1,2.75,-2.44,-3.0,0.13,1319.0,1337.0,1333.0,1334.0
0.07,2.69,-0.14,0.94,-0.1,2.73,1.81,1.0,2.25,1348.0,1360.0,1352.0,1356.0
0.14,2.75,-0.14,0.94,0.05,2.69,-2.19,-2.06,2.31,1360.0,1371.0,1366.0,1368.0
0.07,3.06,-0.14,1.06,-0.1,2.63,-8.0,-3.69,0.31,1356.0,1371.0,1368.0,1368.0
0.14,6.81,-0.42,1.0,-0.1,2.45,-34.13,2.87,1.19,1359.0,1401.0,1393.0,1367.0
0.07,8.88,-0.49,1.31,-0.1,2.4,-45.13,-6.25,1.31,1358.0,1415.0,1417.0,1374.0
-1.89,18.12,-2.8,1.31,-0.1,2.21,-60.56,2.0,-5.12,1349.0,1442.0,1429.0,1367.0
-10.92,20.44,-4.27,1.19,-0.1,2.21,-35.25,1.06,-4.69,1348.0,1440.0,1430.0,1369.0
-1.33,-5.5,-0.07,3.75,-0.1,5.81,-45.75,-0.81,-11.38,1362.0,1423.0,1392.0,1403.0
0.07,4.81,-0.07,6.19,-0.1,7.37,-42.06,-27.5,-10.31,1338.0,100.0,1320.0,1387.0
-0.28,0.13,-5.88,5.94,-0.1,11.49,1.75,31.0,-6.56,1339.0,1387.0,1326.0,1380.0
-23.45,0.37,-0.07,-7.94,0.05,16.47,18.87,-6.81,5.12,1290.0,1365.0,1306.0,1339.0
-21.49,-1.56,1.47,-7.19,0.05,16.42,52.38,-20.75,7.94,1343.0,1388.0,1340.0,1397.0
-16.38,-12.25,0.14,-4.12,0.05,15.72,44.19,-6.75,1.5,1371.0,1391.0,1340.0,1430.0
-14.35,-13.13,0.14,-4.31,0.05,15.49,2.31,11.81,-1.12,1363.0,1415.0,1345.0,1408.0
-9.87,18.06,-0.07,9.31,-0.1,15.38,-107.12,-48.88,-1.62,1279.0,1402.0,1419.0,1431.0
-9.73,17.75,-0.07,13.25,-0.1,15.42,53.06,-58.69,9.38,1324.0,1372.0,1399.0,1437.0
-7.35,-15.5,-3.36,-7.56,-0.1,19.48,0.44,104.69,6.31,1336.0,1374.0,1209.0,1301.0
-7.07,2.12,-3.43,5.62,-0.1,20.11,7.44,-72.56,11.19,1234.0,1303.0,1315.0,1368.0
-8.05,-8.63,-0.49,-0.56,0.05,19.56,72.12,116.56,9.94,1380.0,1378.0,1222.0,1344.0
-8.05,-11.19,-0.28,-7.62,0.05,19.47,29.5,120.69,9.69,1378.0,1400.0,1231.0,1327.0
